Sample.Name	Sample.Type	Classification	TMAO_76.1_58_qual	TMAO_76.1_59.1_quant	Choline_104_58_qual	Choline_104_60_quant	Carnitine_162.1_103_quant	Carnitine_162.1_85_qual	Creatine_132.1_44_qual	Creatine_132.1_90_quant	Trigonelline_138_92_quant	Trigonelline_138_94_qual	stachydrin_144_144_qual	stachydrin_144_84_quant	Histamine_deriv_247_154_quant	Histamine_deriv_247_95_qual	Taurine_deriv_261_126_quant	Taurine_deriv_261_136_qual	Carnosine_deriv_362.2_207.03_quant	Carnosine_deriv_362.2_269.02_qual	Anserine_deriv_376.1_241.03_quant	Anserine_deriv_376.1_283.03_qual	1.Met.His_deriv_305.1_124.03_quant	1.Met.His_deriv_305.1_83.07_qual	Hippuric.acid_180.1_105_quant	Hippuric.acid_180.1_77_qual	t4.OH.Pro_deriv_267.1_132_quant	t4.OH.Pro_deriv_267.1_86_qual	3.Met.His_deriv_305.1_168.04_quant	3.Met.His_deriv_305.1_212_qual	Phenylacetylglycine..PAG._194.1_76_qual	Phenylacetylglycine..PAG._194.1_91_quant	Ethanolamine_deriv_197.1_136.02_quant	Ethanolamine_deriv_197.1_62_qual	HArg_deriv_324.1_189.03_quant	HArg_deriv_324.1_84.06_qual	ADMA_deriv_338.2_203.03_quant	ADMA_deriv_338.2_46.08_qual	SDMA_deriv_338.2_172.03_qual	SDMA_deriv_338.2_203.02_quant	Met.SO_deriv_301.2_237_quant	Met.SO_deriv_301.2_88_qual	Met_deriv_285.1_133_qual	Met_deriv_285.1_150_quant	IS_Methionine_292.1_140.1_CE25_qual	IS_Methionine_292.1_157.1_CE15_quant	Kynurenine_deriv_344.2_146.03_qual	Kynurenine_deriv_344.2_192.02_quant	Trp_deriv_340.2_146.04_qual	Trp_deriv_340.2_188.03_quant	IS_Tryptophan_348.1_151.1_CE35_qual	IS_Tryptophan_348.1_195.1_CE25_quant	Putrescine_deriv_359.1_114.04_qual	Putrescine_deriv_359.1_266.01_quant	IS_Putrescin_363.1_118.1_CE35_qual	IS_Putrescin_363.1_270.1_CE15_quant	Cadaverin_2xderiv_373.1_128.03_qual	Cadaverin_2xderiv_373.1_280.01_quant	IS_Alanine_228.1_136.1_CE30_qual	IS_Alanine_228.1_93.1_CE15_quant	IS_DL.Proline_258.1_123.1_CE18_quant	IS_DL.Proline_258.1_76_CE35_qual	IS_L.Histidine_296.1_115.1_CE30_qual	IS_L.Histidine_296.1_203.1_CE15_quant
P65	Sample	Block 1.3	365502	221007	726237	1834656	535919	699239	33988	1.14E+05	103239	69328	1102580	149121	1450414	854125	4272522	1717058	770196	798109	52195	22950	884492	172135	3102315	2658583	14978977	6279138	720035	1449868	102400	208444	121399	153569	645086	365181	693347	73890	131488	555750	193473	103105	3412852	8020866	1647019	3307943	45755	62001	5943470	13917897	11484974	23635779	265602	794841	10839830	37015024	294114	1318610	2180329	3879947	48829216	34980220	3160421	4208735
P49	Sample	Block 1.3	376804	232575	944099	2218000	395077	742029	95116	2.21E+05	138626	71263	630093	78725	313336	191048	5514893	2141472	898946	982186	63392	39378	979330	203338	259878	240985	12482686	5444563	746394	1666507	193878	387317	71619	78075	331006	202733	949442	84950	83265	376747	232213	127365	5068761	11288253	1670842	3096694	66828	102603	5730681	11894631	10575666	21570862	155907	601156	9000708	32116142	383844	1343006	1751243	2993897	44697150	30387211	3671653	4659919
P56	Sample	Block 1.3	159109	95569	677770	1684608	508362	590160	97148	2.94E+05	111553	60997	552629	74354	442212	277922	2979313	1255266	869105	914948	49431	25874	913613	180631	388809	320063	15158369	6400613	595900	1314396	263337	460123	67587	66137	262626	131027	722978	72385	110313	429025	294749	155980	6122675	13218727	1554269	2933944	63646	75625	7165063	15629084	9994347	18823425	174157	586425	8567300	30293807	524595	1822477	1597814	2854630	42490162	29524802	2954940	4073976
P86	Sample	Block 1.3	101143	60755	749189	1966190	314279	436640	122943	4.38E+05	131323	65662	516640	67933	50934	32763	3955885	1499615	769825	821280	35012	10868	597901	132780	2543721	2039010	14574917	5696645	521049	1094276	134497	237833	35242	29916	303909	185768	532026	57332	62996	269876	266496	134312	6326381	13930709	1065411	2261484	44162	65110	5820651	11322688	8075585	17107828	113411	373309	6071612	20884058	35507	150609	1146698	2097227	33430447	23720853	2699795	3587062
P51	Sample	Block 1.3	131964	87655	814995	1853819	410674	543323	123653	4.39E+05	166000	100721	723101	94168	78342	37844	2578933	938366	450196	440423	23215	22982	768381	162531	332906	272729	10976641	4556393	317747	880198	120704	214541	74118	72643	313538	189010	554151	64291	61756	245519	269909	132027	5748044	12947666	1006267	2238145	43788	62495	5167471	12509310	7695870	15343453	136893	476593	5987755	21541029	225326	812402	1171624	1996361	32720496	22903027	2429032	3271011
P63	Sample	Block 1.3	248672	136276	874468	2053861	463677	669857	115904	4.27E+05	150923	96942	1026009	160623	385024	255817	1608925	582242	1127926	1435735	52560	53122	1225866	252326	4598693	3814219	15898591	6583519	1032465	2096987	111160	218396	100938	106312	765899	438762	968039	105370	118309	494950	334820	174231	5529881	11803824	1503232	2971353	38347	72874	7094232	15251078	9700385	20744710	171813	573282	8274971	27496711	235275	921397	1652128	2825574	42793532	30913331	3270623	4562825
P71	Sample	Block 1.3	99784	57735	672351	1695775	635784	787692	92501	3.51E+05	162576	79029	786951	67443	945542	580477	6738613	2777564	1156414	1088716	58451	33751	670135	147270	195537	157509	15699362	6369564	683711	1345437	137542	256023	89928	98065	290556	177533	603942	60733	99564	355785	245352	110134	4983068	10722049	1623791	3080731	27218	26552	4918459	10169745	10121228	21397063	160279	566674	9223843	30869883	128437	527551	1607123	2867027	47592633	33004005	3964275	5090595
QC 1	QC	Block 1.3	140640	91161	503231	1259616	316286	605511	127320	3.50E+05	142531	70121	658124	54814	122193	77652	1683177	581004	389072	346790	19899	10347	378276	84152	865281	747976	7195455	2992809	302463	664687	96902	200489	37764	35737	161095	97964	224298	21833	37988	143385	108790	48116	2145734	4546301	618792	1140173	24489	38817	2553537	5726151	3937642	8443348	68350	235313	3054360	10616358	77378	275141	767076	1225392	17831866	12083246	1350888	1737350
MeOH 1	Blank	Block 1.3	1818	20826	48865	59997	53990	111890	2112	1.23E+05	7757	10341	359680	13383	393	2434	2368	1623	2258	6494	1637	1383	735	682	3606	7363	2970	436	1733	413	2402	5054	2219	1853	979	452	93	N/A	336	1446	5197	251	6239	1172	1343	6438	1307	1758	6627	2980	7872	30270	620	4229	8929	27325	1082	2595	12608	33714	5372	3985	1176	1983
blank = water	Blank	Block 1.3	4031	9869	154485	39134	54920	53717	2942	7.36E+04	15498	3595	1032800	31411	969	924	200	2466	875	450	61	483	230	686	3757	6737	2224	1191	2054	521	N/A	3728	796	135	1993	93	275	870	246	168	6252	307	2418	613	857	5037	518	1090	1102	2316	6450	3920	1653	1092	1256	2307	627	1266	1269	675	5991	3446	457	955
IS Mix 1	Blank	Block 1.3	N/A	11657	29310	38844	65453	106340	749	9.15E+04	17086	8596	479263	16645	1420	1422	1949	26712	3798	7139	845	932	1521	384	2142	15821	2115	1854	3001	1095	7026	2474	3696	5500	1456	N/A	720	211	687	1031	10999	736	1275	3718	301237	588533	2006	3679	7268	2769	2979960	5854584	2531	7001	2241818	8020107	935	15624	243643	440063	14694774	11130342	700739	767479
Cal 7	Standard	Cal 2	8972	9760	29564	41941	19226	85767	3785	9.25E+03	36986	51456	616287	38953	3121	1047	8698	11201	34748	32100	18408	6980	6465	632	9536	30769	23025	4847	N/A	19012	1874	5914	22466	27271	17133	7405	9005	2103	1316	6687	6789	2803	5594	16392	552849	1047918	3995	5703	12993	12946	4869733	9638812	2426	21462	4150203	15134778	1763	26485	393240	687391	24645119	18124536	1139337	1503392
Cal 6	Standard	Cal 2	38839	30849	62892	93608	99637	127544	5741	2.82E+04	101949	50873	1248058	116723	170690	104339	29486	17992	16520	35229	42713	24927	33398	6780	32323	40894	75291	30685	47379	93990	4072	17611	39252	44597	88088	46645	60286	11066	11607	45639	20636	5962	17242	44061	637124	1317838	11036	22806	47345	94530	6135768	12185724	51991	208853	5218913	15559482	113762	440115	443139	789534	28179108	18983794	1357804	1774272
Cal 5	Standard	Cal 2	151626	93592	104208	234974	254089	90922	33601	7.31E+04	273954	124046	3167546	319701	493039	307670	66907	29616	42397	78330	121040	76169	91858	23723	83575	71835	188167	78240	141858	256096	16036	40202	130908	130561	277643	153860	176538	21366	37891	143754	64583	23302	50150	99691	553275	1126609	43056	46123	126029	240814	5152010	9580814	150007	529825	4219617	14893502	257724	669296	420364	681011	24815818	17883990	1339377	1645515
Cal 4	Standard	Cal 2	419697	279361	242075	541733	575861	266102	72179	1.94E+05	719739	361185	7156705	1046362	1094495	671777	177297	65572	87647	107130	256659	167704	264562	50587	245569	237809	576643	211796	371497	609203	42591	79025	254816	297011	520661	313146	397870	52669	98895	352243	103489	46576	120125	241188	468538	957868	81384	127330	272672	626352	4029021	8415453	479109	1558959	2749592	9257590	502079	1815624	318157	534584	23187338	15630878	1044697	1433378
Cal 3	Standard	Cal 2	1151113	736025	584545	1361636	1405224	630142	130742	4.84E+05	1612064	833600	18276655	2560325	2980822	1756200	541639	220968	242814	274953	719104	460902	699265	162747	790303	749848	2033458	822878	1269454	2270989	160216	327210	666274	810667	1668347	799546	1407653	131302	269207	1038422	306141	153377	308937	675935	414382	806919	295621	422003	936867	2151321	4381949	8835569	1356490	4237890	2285459	7986245	1184074	4169722	210685	359354	23797934	16923754	942019	1110236
Cal 2	Standard	Cal 2	2877018	1804026	1392591	3190523	2369102	1275381	289938	1.14E+06	2658533	1473070	39660626	6157087	6990248	4418245	1731226	666930	817404	843586	2386551	1590339	2462427	491042	2453564	2055962	6067570	2491537	4248867	7344492	483837	1004618	2247154	3009244	4294117	2732790	3749521	427059	885046	3697961	963656	472065	1005430	2265315	435500	800714	947895	1135128	3135498	6564090	4418418	9294430	6122343	19565013	3285191	10902412	8435620	25179948	251106	429738	22107231	16672713	902570	1215106
Cal 1	Standard	Cal 2	5051344	3119734	1998166	4676405	2998565	1569609	615390	2.40E+06	3622445	1997054	52100862	7125672	15686412	9382244	5288199	2103863	2711968	3108545	8378129	5263422	6693608	1454034	5759527	4778011	15191411	6142891	11819935	20745831	1255016	2708766	6572631	7882259	12223427	7459507	13834174	1621704	3198301	13649184	3241337	1610261	2689176	6112809	347215	712907	2106239	3331472	8667749	17614301	3221630	6954307	16431068	52790619	3101457	10042653	15318909	50974992	214045	383717	21725958	15631212	772852	993054
blank = water	Blank	Block 2.1	1805	42979	86538	40493	57237	88082	1685	1.38E+05	19369	4292	580101	23408	1632	1340	878	610	816	179	236	531	307	443	1310	10793	1809	1715	770	906	86	1770	916	176	296	552	968	276	440	2119	5213	421	2944	2352	2138	2422	2652	6964	5605	11441	4450	7704	14462	38053	3327	7635	6175	16759	892	355	2476	4846	238	667
MeOH 2	Blank	Block 2.1	2328	11416	28700	45777	68044	88837	3257	1.10E+05	2318	37230	343152	15865	1111	2033	1188	1178	3236	3022	960	653	199	948	2036	17873	2466	751	1181	318	86	2953	2841	1935	N/A	624	343	1945	678	828	10668	257	420	N/A	1362	9478	1901	1871	1920	1962	4146	22003	9394	22410	3539	7289	9521	31016	13489	31763	4406	1710	309	3274
QC 2	QC	Block 2.1	179219	103898	685654	1535331	488214	518196	106843	4.19E+05	158382	77543	675002	99640	246195	137882	3021365	1088475	616019	685092	45906	23712	708169	153756	1352845	1195117	12635334	5193955	556582	1183876	148227	294244	43645	55829	274946	191246	453216	63339	81890	312277	196685	97700	3720328	8075983	1074648	2171861	33519	37616	4439709	9069732	7666504	14881920	120581	435931	5935447	20219450	215769	763341	1169389	2031936	29291136	20661313	2361477	3126935
P45	Sample	Block 2.1	75605	41105	694865	1673614	807403	848267	300732	7.41E+05	195150	89678	845742	111088	156248	112965	1219071	524387	663821	709221	33018	23750	1460112	331362	328250	303258	11396786	4569239	538934	1579273	173131	371002	47378	43183	146089	86787	616284	69273	81347	332317	281670	115858	3102779	6934656	1183292	2257217	26711	40801	4518996	9980115	7821115	15662802	116287	367836	6039236	21378764	424442	1584735	1662321	2878226	33136444	23261210	2816223	3668983
P74	Sample	Block 2.1	191406	109027	799800	1751648	398136	646042	64983	2.62E+05	188584	90953	1256186	147827	302078	167163	3628143	1497775	1481042	1535557	61331	47661	1149641	238854	4621363	4159055	14463818	6032572	730496	1593907	49133	123775	109080	139823	773837	470168	788659	86744	135643	601616	300466	134543	5059354	10814220	1455882	3161423	49452	60839	6065402	12534897	9944861	20225958	160458	625144	8601895	30313026	126691	490180	1584013	2645368	42863969	30090628	4079836	5518953
P59	Sample	Block 2.1	225116	149075	827368	2067456	565625	716718	84405	3.97E+05	151102	74792	1086980	130161	141434	91906	1857049	686116	1173827	1328509	77889	64436	1245238	273572	4727008	4062451	19121537	7899691	888995	2102348	64191	133221	59594	54491	513376	315145	945530	118225	117088	525966	305822	165043	5138738	10777724	1608440	3234251	47381	66979	7234128	15384334	10381254	21245333	175067	612819	8921662	31611464	299033	1084516	1457182	2543999	44360449	30966415	3712986	5128983
P87	Sample	Block 2.1	318788	211365	494728	1259646	347363	581011	217389	5.40E+05	188877	91982	498513	76437	10068	9528	2053932	771134	614750	576871	40898	26608	577447	108232	230219	249358	14218750	5791372	569102	1126639	274575	530773	27214	30629	329968	215801	533909	59578	90966	355332	148316	81953	3300996	7482538	1016337	1897506	14806	23058	4624417	9787468	6552736	14166575	92443	359518	5299390	18716080	215996	705511	942134	1602021	28283679	20957074	2356671	2942295
P75	Sample	Block 2.1	337376	214217	921313	2164501	521784	573109	81935	3.59E+05	180015	83410	1124077	123895	113498	71788	4914180	1989794	713817	820894	39457	28745	596900	121423	194180	183771	15091657	6108589	353988	785541	141572	299783	95907	92647	235466	170424	597751	63673	92632	295554	279506	146788	8019594	17146494	1168651	2307225	42738	53274	5037935	9487803	7749400	16218185	180724	499849	6766028	18358365	334489	890465	1316790	2203044	34438873	24541198	2735781	3836480
P57	Sample	Block 2.1	267442	194588	450803	1126125	331514	449062	21083	7.56E+04	81431	63260	775657	65366	303373	197004	2597772	1141569	879855	953401	71767	34174	983995	210632	2677783	2448737	13811815	5911375	1091647	1885158	53915	135955	40795	33277	380528	221864	662567	76236	118352	437270	219819	112352	4068854	9481973	1517257	2912894	29017	36374	3539593	7739553	8159135	16587294	140968	509699	7608683	27728307	194880	705130	1593180	2850853	35670019	25542058	2607790	3090041
P48	Sample	Block 2.1	77528	52806	760933	1706615	416582	527282	174138	4.90E+05	104147	65989	799785	119270	5503	3818	1856610	722502	1098473	1027470	51083	33091	766079	169168	1153178	1170095	12249642	4910017	761706	1663030	122816	293114	45892	30693	412649	276389	608779	57179	81932	319992	273421	96904	4674322	10317445	1056940	2395686	27883	44885	4319039	9056269	7240306	13804638	125967	491177	6539439	22284979	49695	223562	1681014	2841330	31125093	22209208	2432160	3400898
P55	Sample	Block 2.1	88046	42134	651374	1599391	430994	544810	47900	2.50E+05	132865	68938	803061	103438	36517	23198	1043297	401641	935551	886116	41262	26659	970061	220965	2908799	3049254	14601901	6345553	649782	1508301	70234	166936	39134	34860	303125	205736	846272	92959	113005	440287	256754	134895	3768679	8263540	1308447	2995842	52025	77777	6233151	13601743	8485254	17095272	178226	560423	7589307	25485120	325903	1193079	1168715	1991772	35219780	26119729	3066230	4159297
Cal 3	Standard	Block 2.2	920207	610129	576861	1234984	1051091	523142	118292	4.19E+05	1297295	699325	14905345	2239353	2235495	1491189	442031	170757	199685	248297	622700	441368	677106	123059	546474	651919	1818278	758233	1215708	1997655	130296	267257	598302	741419	1241890	814763	1158557	126954	223233	1050833	274049	137354	269365	637810	343428	700588	317409	397769	987075	2090387	4212912	8125000	1146372	3955609	2071580	7133953	1088511	3410570	196010	314586	21108038	15104403	785961	1104254
IS Mix 2	Blank	Block 2.2	N/A	5725	30106	39061	39649	27919	1723	6.50E+03	63062	43000	503136	18635	2631	904	2485	34595	4243	7771	1392	955	1224	562	3080	16394	2690	2143	4596	1068	11575	3381	4370	5032	3351	976	345	1988	2127	2237	14798	842	3408	474	643171	1282441	1261	1829	20206	8523	6339060	11668801	3268	30480	5383406	19432779	6837	28030	486890	853593	30137351	21162024	1692425	2183807
P62	Sample	Block 2.2	273163	153474	422484	1030330	283914	465772	118403	3.08E+05	135090	81413	746311	85047	94636	60205	2664207	1067141	606582	632162	53710	36462	498945	104209	174218	188140	12679008	4972889	422492	871687	241006	493659	30969	31775	196590	110905	497305	53430	66839	311084	174705	84102	2967053	6417275	1110653	2170534	32795	48660	4114062	8848022	6605604	13837468	100178	353831	5551902	20511293	172289	620327	1090206	1958344	29078234	21344181	2627949	3729856
P85	Sample	Block 2.2	121020	85937	636452	1529849	483096	722227	79611	3.36E+05	122115	50385	547506	65964	369716	221045	3609998	1375424	731871	747093	37387	29163	935742	212282	2499132	2183498	19265905	7528360	748597	1577486	117579	236705	90953	89068	308522	223183	844954	93674	107922	427948	278081	148531	3760826	8528823	1197223	2314493	25535	41679	5136491	10274388	7807998	15582412	158621	552288	6807382	24697507	318412	1173222	1206294	1999806	31942928	23405495	3124630	4189169
P54	Sample	Block 2.2	270790	173509	537885	1279693	369831	471193	127880	4.58E+05	147606	75549	710406	86706	361398	250199	1720713	701298	802783	947789	35422	28543	691961	140557	186230	198415	9572335	4095662	459898	1118042	94713	279092	44581	39829	108011	61629	388432	49112	47205	194071	136705	63490	2359156	5239271	726349	1520383	28408	37302	3347382	7315768	5739752	11851668	105496	289279	4044004	14235909	139900	486649	671754	1229982	24117854	17216032	1911926	2524917
P81	Sample	Block 2.2	100589	50822	565417	1442599	340718	419248	77108	3.24E+05	96795	63680	697849	88956	137803	93320	1043875	396183	589018	588386	26881	23152	920207	188118	1936122	1771015	11112332	4652190	335951	979386	59567	127740	45651	40136	231804	156925	567556	75338	59560	286536	207364	96277	2632342	5476610	938675	1890763	38633	58004	3659640	7936256	7092758	13902785	116381	406455	5357013	18478546	290727	869265	1353933	2297760	29318560	22098423	2552071	3256470
P42	Sample	Block 2.2	57790	63995	371831	895330	352047	520077	62378	2.81E+05	97404	46682	716286	94482	19719	16624	905063	311138	835745	849031	35159	23149	878540	188645	1572130	1364212	12474740	5021405	771313	1607519	110897	260910	34628	25693	628937	406847	686765	77360	101804	369131	218866	114375	2765866	6807006	1099456	2055733	29690	36572	3937922	8749663	7278994	14194150	109678	396748	6425638	18884965	123257	455577	1269931	2314141	32260163	21338599	3165719	3400852
P58	Sample	Block 2.2	103037	59156	667319	1500940	562698	586670	198961	5.94E+05	158793	86178	1056680	135646	58412	50342	4456842	1766964	437999	452344	55446	31369	974910	215653	170160	159981	9014723	3914551	937880	1813166	67919	158663	33237	28899	530790	323990	754439	80590	97721	419494	253255	126318	5235013	11826162	1235334	2364203	37681	55754	3289277	6811280	7455682	15497278	146717	515906	6338613	21888719	93809	320641	1205255	2131326	31402299	23594428	2975750	4263260
P83	Sample	Block 2.2	516052	339920	752728	1803485	360803	714304	77478	2.98E+05	92533	50458	801415	113938	569087	353286	4315807	1761364	874288	717717	28160	32187	777661	172232	237112	268143	14077655	5726745	543725	1221294	155278	369800	53036	59804	150006	88104	537335	65127	98657	389791	249617	112343	3690646	8095593	1179555	2221579	21123	40484	3692164	7568407	7085961	16253238	112635	420750	6085615	21468382	589445	2203323	1560047	2747303	32507602	23640738	3286654	3965848
P61	Sample	Block 2.2	77518	42948	680791	1680884	338257	308583	88250	3.45E+05	196982	99357	934725	116353	9826	3744	1602412	604610	570510	473061	25088	16266	645455	121299	1806320	1925973	13026242	5264520	625466	1215165	59495	114062	36459	31146	273332	198778	474280	49297	56875	230719	202619	113671	4172362	9903486	766999	1505912	37418	48334	3123174	6527295	5155343	11228792	76885	271391	3696316	14481484	94886	343812	892205	1527846	23320852	16989444	1954776	2520352
Cal 3	Standard	Block 2.3	763915	536443	464899	1080114	928411	454993	151454	3.69E+05	1198242	604164	13993467	2094564	2201195	1335725	441473	169049	195599	212457	596334	361187	534795	121657	576066	555082	1818478	691420	1086392	1879127	100952	240303	465990	646603	1038085	685284	780567	131677	237347	937336	254931	133450	239809	554940	344061	653959	232715	304473	947341	1688743	3622809	7834940	1015291	3493005	1889186	6366082	860582	3130027	171960	301358	18582674	14428643	795084	877542
IS Mix 2	Blank	Block 2.3	1444	13050	31539	34663	55732	N/A	1488	5.98E+03	67792	7798	524425	11835	1795	626	1244	43538	3619	3373	1212	2271	3332	375	2228	23256	2664	1782	2105	1011	10006	3948	5150	5499	2921	992	547	2413	312	N/A	2200	1540	2364	5347	601699	1273816	2414	3255	11298	4333	5937669	11785418	4119	27817	4808954	16804723	7406	29133	437032	766089	27292267	19008420	1667390	2201927
P80	Sample	Block 2.3	53155	29483	518109	1304333	484020	594086	292258	9.31E+05	114850	63852	578545	69361	158687	100583	5741062	2133175	243408	265742	21258	17129	764864	164167	186764	198755	8648531	3658308	581519	1235947	166998	370561	21976	23531	183634	144363	320855	41052	79863	344890	232533	134685	3827165	8098508	1028027	1993788	40408	47348	3875835	8402425	6801145	13041949	126358	472477	5058006	18516282	96656	395765	1186812	1968849	28803343	20842808	2726486	3688245
P47	Sample	Block 2.3	179809	91479	584040	1464044	435537	630187	49469	2.34E+05	117901	67775	689046	74301	90510	63602	1671889	689200	701590	576236	49770	34497	539149	109432	244314	288214	12803517	5606197	529908	1015241	88785	219733	46777	60162	192879	125776	701085	89325	112040	410888	253438	147352	4676151	10662364	1017575	2094851	29360	44525	5160901	10765794	6927265	13467765	117778	433322	5814375	20070506	151757	626351	1167144	2094063	28179088	20897494	2989149	3557559
P44	Sample	Block 2.3	77497	54238	406151	902269	395537	535758	127567	3.72E+05	105726	59236	631156	71087	690846	401953	1476691	631306	504348	471206	29290	20856	633050	149003	1646282	1758173	10163368	4055986	518449	1086003	88971	215053	53387	58513	144450	108203	321560	31933	64504	204975	106430	55719	1949979	4355389	694453	1357704	21915	28254	2892578	6057216	4594038	9628345	82225	284348	3387896	11917098	99514	411694	767098	1333137	19035826	14100239	1782536	2313609
P67	Sample	Block 2.3	96723	52709	596335	1337442	472339	484807	185212	5.50E+05	122022	63151	482653	51534	284555	178461	2457354	1062439	910763	862581	58716	53089	981224	191151	1211945	1262873	13025565	5232733	757831	1574613	97012	245900	53621	56913	121025	73176	362648	44221	64242	310849	155995	81788	2876140	6412002	828874	1672831	30153	53521	3375699	7358978	5851859	10668882	93249	332203	4246174	14882902	101644	370982	914768	1678045	21672785	17190718	2125291	3035465
P50	Sample	Block 2.3	153993	112293	501371	1218960	534802	534914	71900	2.89E+05	79184	70765	425231	68361	121485	66821	982225	375657	418611	546569	31549	32506	1065349	249694	1346620	1308650	6586102	2738715	631749	1636680	41798	101472	28021	28340	301832	207745	445926	55132	68981	279625	226035	111338	1840697	4608159	1018886	1966541	44647	55594	3182563	6113779	6520582	13606275	119318	448393	5123793	18906296	215092	653273	1062866	1871442	29214085	20257814	2716634	3399205
P70	Sample	Block 2.3	42698	33258	387741	884207	284555	370294	57955	2.38E+05	105468	56751	514982	48503	16690	10278	2245369	741367	386748	456576	14317	16445	650137	119120	1277206	1341344	11604672	4925018	482161	1024350	28556	71664	18796	17614	129175	67381	406414	44206	70197	243225	188735	52624	2749232	6055975	829099	1615355	27253	23761	2866834	5980021	5700135	11621323	94095	328757	4128368	16586906	199257	664335	831005	1447495	23457938	17399601	2543299	2419860
P84	Sample	Block 2.3	57378	39091	649771	1534928	328705	412745	77875	3.12E+05	155814	73209	563695	88128	174930	100782	2867932	1151193	393174	455717	25205	12818	329622	77255	1826414	2055360	12361742	4569905	314996	661990	124078	343892	31171	43216	130454	66924	382437	41422	70900	286645	136587	70374	2806580	5800054	666185	1400505	18501	25180	3021199	6242425	5358715	9708946	83605	240725	3452412	11765598	62074	259457	689923	1263383	20628129	15981139	1817824	2269672
P76	Sample	Block 2.3	79325	51118	438612	1068165	375951	452429	129377	3.44E+05	106385	56097	545961	57121	150041	91992	2368446	939185	520141	657659	24937	18405	467819	102082	216169	251860	9761798	3852010	436737	917255	121657	306089	33024	30107	104941	81044	418982	46111	51296	233387	221378	96926	2418437	5809680	745537	1520233	22020	39390	1643967	3376553	5731709	11492479	78317	311944	3990442	13751389	203131	648244	868757	1551069	22417297	16396068	1828442	2317155
QC 2	QC	Block 2.3	135890	108532	484280	1270339	357418	479797	95190	3.62E+05	98350	59824	617727	61582	175130	87557	2125447	926636	476485	542233	28097	17673	616374	125377	848304	1008656	10435349	3873030	502608	985785	104635	227705	47122	45339	267438	156063	315819	44936	73372	290064	158064	88978	3001886	6618841	874029	1615217	26440	41139	3754267	7552188	5646056	11005131	86366	311347	3959561	15446142	169416	632652	955454	1643289	23831874	16799265	1834054	2717699
MeOH 1	Blank	Block 2.3	2147	7710	29305	46912	53230	72155	1700	7.56E+04	3323	29491	314314	7511	627	1587	1573	543	1711	6284	541	194	613	390	1647	8034	1208	1078	1688	1107	1495	3283	1262	2188	762	265	513	38	843	168	4106	325	1844	4176	1863	2840	873	1822	3920	6790	5716	20702	672	1929	3200	14449	3092	2983	7732	23215	1119	1927	522	590
blank = water	Blank	Block 2.3	2594	11647	102402	37597	55382	111641	215	9.25E+04	16274	1500	679949	10175	N/A	453	655	849	335	236	181	282	161	179	1306	7923	1307	1386	1191	267	119	2534	802	N/A	684	179	442	79	230	234	1569	270	512	N/A	763	1226	847	960	650	2928	3657	2501	242	606	1881	4090	261	858	988	395	2186	1710	605	295
IS Mix 1	Blank	Block 2.3	3769	6329	26772	33997	57312	13062	3187	1.23E+05	13614	6992	304867	8931	1459	950	736	14407	2477	3986	316	566	642	709	2878	13675	2352	513	1066	1627	4832	3541	4558	4625	1851	433	2069	122	161	688	2108	687	N/A	1953	197994	455299	3525	1598	8268	3581	2125040	4050730	1542	7196	1429141	5176138	1113	10386	159156	294396	10363729	7938295	425397	588801
Cal 7	Standard	Cal 3	5197	7210	34579	41613	18719	70592	2527	7.78E+03	23704	42858	466528	25192	2056	1663	7126	12788	27437	28414	10343	9091	5371	1323	3924	22049	7959	4926	N/A	12957	2800	1868	11721	13857	12504	5886	8670	715	2080	6902	12193	1155	942	15449	352194	766594	4015	8473	14684	10940	3290168	6661354	4051	17141	2803252	9891359	2668	35223	277046	487380	17169312	12274690	925219	983922
Cal 6	Standard	Cal 3	31801	24859	42289	80458	73066	69964	11119	2.53E+04	90041	44494	866713	99070	110202	69817	20019	13369	22128	14220	28102	14995	31328	5564	22098	35341	56581	23177	38863	74278	3178	10415	27013	32691	59872	42082	43790	5584	7432	44605	16403	4620	14122	24608	500458	926501	7822	11542	21492	68974	4130546	7939456	34350	149437	3144874	10910103	86214	306769	329170	540232	17238973	13613018	763912	1306886
Cal 5	Standard	Cal 3	97654	58743	100227	182704	175268	171347	24129	7.72E+04	220714	110650	2370988	287298	367812	187274	67949	17501	58741	38726	105670	59950	64181	12580	44350	70177	135841	57152	125348	190416	12040	23675	70363	95108	225315	132333	141714	15184	35579	122230	48631	20335	34069	121097	374028	772392	27433	33674	97142	173658	3514203	6859860	117323	387874	2765325	10094659	160378	547611	304300	542526	17805278	12606619	1009609	1239480
Cal 4	Standard	Cal 3	285715	162045	170043	370928	401175	270800	46431	1.30E+05	548974	269132	5470143	789417	758358	423810	141807	52789	70502	76337	158035	111540	197740	43052	138524	156924	429945	181854	324615	527543	24891	64853	166193	199181	372016	233056	304365	35038	62081	273492	67618	34693	71440	166847	322860	654143	59197	79796	212129	443439	2889482	5930385	324086	1126360	1841109	6280953	355293	1203071	216436	404587	13910025	11610363	813763	1187710
