Sample.Name	Sample.Type	TMAO_76.1_58_qual	TMAO_76.1_59.1_quant	Choline_104_58_qual	Choline_104_60_quant	Carnitine_162.1_103_quant	Carnitine_162.1_85_qual	Creatine_132.1_44_qual	Creatine_132.1_90_quant	Trigonelline_138_92_quant	Trigonelline_138_94_qual	stachydrin_144_144_qual	stachydrin_144_84_quant	Histamine_deriv_247_154_quant	Histamine_deriv_247_95_qual	Taurine_deriv_261_126_quant	Taurine_deriv_261_136_qual	Carnosine_deriv_362.2_207.03_quant	Carnosine_deriv_362.2_269.02_qual	Anserine_deriv_376.1_241.03_quant	Anserine_deriv_376.1_283.03_qual	1.Met.His_deriv_305.1_124.03_quant	1.Met.His_deriv_305.1_83.07_qual	Hippuric.acid_180.1_105_quant	Hippuric.acid_180.1_77_qual	t4.OH.Pro_deriv_267.1_132_quant	t4.OH.Pro_deriv_267.1_86_qual	3.Met.His_deriv_305.1_168.04_quant	3.Met.His_deriv_305.1_212_qual	Phenylacetylglycine..PAG._194.1_76_qual	Phenylacetylglycine..PAG._194.1_91_quant	Ethanolamine_deriv_197.1_136.02_quant	Ethanolamine_deriv_197.1_62_qual	HArg_deriv_324.1_189.03_quant	HArg_deriv_324.1_84.06_qual	ADMA_deriv_338.2_203.03_quant	ADMA_deriv_338.2_46.08_qual	SDMA_deriv_338.2_172.03_qual	SDMA_deriv_338.2_203.02_quant	Met.SO_deriv_301.2_237_quant	Met.SO_deriv_301.2_88_qual	Met_deriv_285.1_133_qual	Met_deriv_285.1_150_quant	IS_Methionine_292.1_140.1_CE25_qual	IS_Methionine_292.1_157.1_CE15_quant	Kynurenine_deriv_344.2_146.03_qual	Kynurenine_deriv_344.2_192.02_quant	Trp_deriv_340.2_146.04_qual	Trp_deriv_340.2_188.03_quant	IS_Tryptophan_348.1_151.1_CE35_qual	IS_Tryptophan_348.1_195.1_CE25_quant	Putrescine_deriv_359.1_114.04_qual	Putrescine_deriv_359.1_266.01_quant	IS_Putrescin_363.1_118.1_CE35_qual	IS_Putrescin_363.1_270.1_CE15_quant	Cadaverin_2xderiv_373.1_128.03_qual	Cadaverin_2xderiv_373.1_280.01_quant	IS_Alanine_228.1_136.1_CE30_qual	IS_Alanine_228.1_93.1_CE15_quant	IS_DL.Proline_258.1_123.1_CE18_quant	IS_DL.Proline_258.1_76_CE35_qual	IS_L.Histidine_296.1_115.1_CE30_qual	IS_L.Histidine_296.1_203.1_CE15_quant
Cal 3	Unknown	0.26	0.26	0.26	0.26	0.26	0.26	0.26	0.27	0.26	0.26	0.27	0.27	0.99	0.99	0.94	0.95	1.01	1.01	1.1	1.11	1.16	1.16	1.2	1.2	1.2	1.2	1.19	1.19	1.54	1.55	1.59	1.59	1.74	1.74	1.88	1.88	2.02	2.01	2	2.01	4.03	4.03	4.01	4.01	4.36	4.36	4.4	4.4	4.38	4.39	4.5	4.5	4.5	4.5	4.62	4.62	2.86	2.86	2.78	2.78	0.94	0.94
IS Mix 2	Unknown	N/A	0.14	0.25	0.26	0.32	0.23	0.27	0.04	0.26	0.43	0.27	0.27	0.97	0.93	0.96	1.13	1.11	1.06	1.07	1.06	1.16	1.38	1.11	1.17	1.19	1.61	1.08	1.14	1.12	1.51	1.59	1.59	1.8	1.58	1.92	1.85	1.7	2.14	2.12	2.26	4.02	4.07	4.01	4.01	4.37	4.64	4.07	4.4	4.38	4.38	4.62	4.52	4.5	4.5	4.61	4.6	2.86	2.86	2.78	2.78	0.94	0.94
P62	Unknown	0.27	0.27	0.26	0.26	0.27	0.22	0.27	0.27	0.27	0.27	0.27	0.27	0.98	0.99	0.94	0.94	1	1	1.1	1.11	1.16	1.15	1.2	1.2	1.2	1.19	1.19	1.18	1.54	1.54	1.58	1.59	1.74	1.74	1.87	1.87	2.01	2.01	2.01	2.01	4.02	4.03	4	4	4.36	4.35	4.4	4.4	4.38	4.38	4.5	4.5	4.5	4.5	4.61	4.61	2.86	2.86	2.77	2.77	0.94	0.94
P85	Unknown	0.27	0.27	0.26	0.26	0.27	0.22	0.27	0.27	0.27	0.27	0.27	0.27	1	0.99	0.94	0.94	1.02	1.01	1.12	1.11	1.15	1.15	1.2	1.2	1.2	1.2	1.19	1.18	1.54	1.55	1.59	1.59	1.74	1.74	1.88	1.88	2.02	2.02	2.01	2.01	4.03	4.03	4.01	4.01	4.36	4.36	4.4	4.4	4.38	4.38	4.5	4.5	4.5	4.5	4.62	4.62	2.87	2.87	2.78	2.78	0.94	0.94
P54	Unknown	0.27	0.27	0.26	0.26	0.27	0.24	0.27	0.27	0.27	0.27	0.27	0.27	0.99	0.99	0.94	0.93	1.01	1.01	1.1	1.11	1.16	1.15	1.19	1.2	1.19	1.19	1.19	1.19	1.55	1.55	1.59	1.59	1.73	1.74	1.87	1.87	2.01	2.01	2.01	2.01	4.03	4.02	4.01	4.01	4.36	4.36	4.4	4.4	4.38	4.38	4.5	4.5	4.5	4.5	4.62	4.62	2.86	2.86	2.77	2.77	0.94	0.94
P81	Unknown	0.27	0.27	0.26	0.26	0.27	0.23	0.27	0.27	0.27	0.27	0.27	0.27	0.99	0.99	0.94	0.94	1	1	1.1	1.12	1.16	1.16	1.2	1.2	1.2	1.2	1.19	1.17	1.55	1.54	1.59	1.59	1.74	1.74	1.87	1.87	2.01	2.01	2	2.01	4.03	4.03	4.01	4.01	4.35	4.36	4.4	4.4	4.38	4.38	4.5	4.5	4.5	4.5	4.62	4.62	2.86	2.86	2.77	2.77	0.94	0.94
P42	Unknown	0.27	0.27	0.26	0.26	0.27	0.22	0.28	0.27	0.27	0.27	0.27	0.27	0.98	1	0.95	0.94	1	1.01	1.11	1.11	1.17	1.16	1.21	1.21	1.2	1.2	1.2	1.19	1.55	1.55	1.59	1.6	1.75	1.75	1.88	1.88	2.02	2.02	2	2.01	4.03	4.03	4.01	4.01	4.36	4.36	4.4	4.4	4.38	4.38	4.5	4.5	4.5	4.5	4.62	4.62	2.86	2.86	2.78	2.78	0.95	0.94
P58	Unknown	0.27	0.27	0.26	0.26	0.27	0.24	0.28	0.27	0.27	0.43	0.27	0.27	0.99	0.99	0.94	0.94	1.01	1	1.1	1.1	1.16	1.16	1.2	1.2	1.2	1.19	1.2	1.18	1.55	1.55	1.59	1.59	1.74	1.74	1.88	1.87	2.01	2.01	2.01	2.01	4.03	4.03	4.01	4.01	4.36	4.36	4.4	4.4	4.38	4.38	4.5	4.5	4.5	4.5	4.62	4.62	2.86	2.86	2.78	2.77	0.95	0.94
P83	Unknown	0.27	0.27	0.26	0.26	0.27	0.22	0.28	0.27	0.27	0.27	0.27	0.27	0.99	0.99	0.94	0.94	1.01	1.01	1.1	1.12	1.16	1.16	1.2	1.2	1.2	1.2	1.2	1.18	1.55	1.55	1.59	1.6	1.74	1.74	1.88	1.88	2.02	2.02	2.01	2.01	4.03	4.03	4.01	4.01	4.36	4.36	4.4	4.4	4.38	4.38	4.5	4.5	4.5	4.5	4.62	4.62	2.86	2.86	2.78	2.78	0.95	0.94
P61	Unknown	0.27	0.27	0.26	0.27	0.28	0.24	0.27	0.27	0.27	0.27	0.27	0.27	1.01	1	0.95	0.95	1.03	1.01	1.11	1.11	1.17	1.16	1.21	1.21	1.2	1.2	1.2	1.19	1.55	1.55	1.59	1.6	1.75	1.75	1.89	1.87	2.02	2.02	2.01	2.01	4.03	4.03	4.01	4.01	4.36	4.36	4.4	4.4	4.38	4.38	4.5	4.5	4.5	4.5	4.62	4.62	2.86	2.86	2.78	2.78	0.95	0.95
