Sample.Name	Sample.Type	TMAO_76.1_58_qual	TMAO_76.1_59.1_quant	Choline_104_58_qual	Choline_104_60_quant	Carnitine_162.1_103_quant	Carnitine_162.1_85_qual	Creatine_132.1_44_qual	Creatine_132.1_90_quant	Trigonelline_138_92_quant	Trigonelline_138_94_qual	stachydrin_144_144_qual	stachydrin_144_84_quant	Histamine_deriv_247_154_quant	Histamine_deriv_247_95_qual	Taurine_deriv_261_126_quant	Taurine_deriv_261_136_qual	Carnosine_deriv_362.2_207.03_quant	Carnosine_deriv_362.2_269.02_qual	Anserine_deriv_376.1_241.03_quant	Anserine_deriv_376.1_283.03_qual	1.Met.His_deriv_305.1_124.03_quant	1.Met.His_deriv_305.1_83.07_qual	Hippuric.acid_180.1_105_quant	Hippuric.acid_180.1_77_qual	t4.OH.Pro_deriv_267.1_132_quant	t4.OH.Pro_deriv_267.1_86_qual	3.Met.His_deriv_305.1_168.04_quant	3.Met.His_deriv_305.1_212_qual	Phenylacetylglycine..PAG._194.1_76_qual	Phenylacetylglycine..PAG._194.1_91_quant	Ethanolamine_deriv_197.1_136.02_quant	Ethanolamine_deriv_197.1_62_qual	HArg_deriv_324.1_189.03_quant	HArg_deriv_324.1_84.06_qual	ADMA_deriv_338.2_203.03_quant	ADMA_deriv_338.2_46.08_qual	SDMA_deriv_338.2_172.03_qual	SDMA_deriv_338.2_203.02_quant	Met.SO_deriv_301.2_237_quant	Met.SO_deriv_301.2_88_qual	Met_deriv_285.1_133_qual	Met_deriv_285.1_150_quant	IS_Methionine_292.1_140.1_CE25_qual	IS_Methionine_292.1_157.1_CE15_quant	Kynurenine_deriv_344.2_146.03_qual	Kynurenine_deriv_344.2_192.02_quant	Trp_deriv_340.2_146.04_qual	Trp_deriv_340.2_188.03_quant	IS_Tryptophan_348.1_151.1_CE35_qual	IS_Tryptophan_348.1_195.1_CE25_quant	Putrescine_deriv_359.1_114.04_qual	Putrescine_deriv_359.1_266.01_quant	IS_Putrescin_363.1_118.1_CE35_qual	IS_Putrescin_363.1_270.1_CE15_quant	Cadaverin_2xderiv_373.1_128.03_qual	Cadaverin_2xderiv_373.1_280.01_quant	IS_Alanine_228.1_136.1_CE30_qual	IS_Alanine_228.1_93.1_CE15_quant	IS_DL.Proline_258.1_123.1_CE18_quant	IS_DL.Proline_258.1_76_CE35_qual	IS_L.Histidine_296.1_115.1_CE30_qual	IS_L.Histidine_296.1_203.1_CE15_quant
Cal 3	Unknown	0.26	0.26	0.26	0.26	0.26	0.26	0.27	0.27	0.26	0.27	0.27	0.27	0.99	0.99	0.94	0.95	1.01	1.01	1.11	1.11	1.16	1.15	1.2	1.2	1.2	1.2	1.19	1.19	1.55	1.55	1.59	1.59	1.75	1.74	1.89	1.89	2.01	2.01	2.01	2.01	4.03	4.03	4.01	4.01	4.36	4.36	4.4	4.4	4.38	4.38	4.5	4.5	4.5	4.5	4.62	4.62	2.86	2.86	2.77	2.77	0.94	0.94
IS Mix 2	Unknown	0.23	0.16	0.25	0.26	0.31	N/A	0.28	0.04	0.26	0.27	0.27	0.27	1.3	1.44	1.34	1.14	1.05	1.07	1.07	1.12	1.16	1.59	1.52	1.19	1.27	1.2	1.13	1.36	1.11	1.54	1.6	1.61	1.59	1.81	1.89	1.79	2.22	N/A	2.1	1.58	3.98	4.19	4.01	4.01	4.34	4.13	4.07	4.4	4.38	4.38	4.55	4.55	4.5	4.5	4.61	4.59	2.86	2.86	2.78	2.78	0.94	0.94
P80	Unknown	0.27	0.27	0.26	0.26	0.27	0.23	0.27	0.27	0.27	0.43	0.27	0.27	0.99	0.98	0.94	0.94	1.01	1.01	1.11	1.11	1.16	1.16	1.2	1.2	1.2	1.2	1.2	1.18	1.55	1.55	1.58	1.59	1.74	1.74	1.88	1.87	2.02	2.02	2.01	2.01	4.02	4.02	4.01	4.01	4.36	4.36	4.4	4.4	4.38	4.38	4.5	4.5	4.5	4.5	4.62	4.62	2.86	2.86	2.78	2.77	0.94	0.94
P47	Unknown	0.27	0.27	0.26	0.26	0.27	0.23	0.28	0.28	0.28	0.27	0.27	0.27	1	1	0.95	0.94	1.01	1.02	1.11	1.11	1.16	1.17	1.2	1.2	1.2	1.2	1.21	1.19	1.55	1.55	1.59	1.6	1.74	1.74	1.88	1.88	2.02	2.02	2.01	2.01	4.03	4.03	4.01	4.01	4.36	4.36	4.4	4.4	4.38	4.38	4.5	4.5	4.5	4.5	4.62	4.62	2.86	2.86	2.78	2.78	0.95	0.95
P44	Unknown	0.27	0.27	0.26	0.26	0.27	0.23	0.27	0.27	0.27	0.27	0.27	0.27	0.99	0.99	0.94	0.95	1.01	1.01	1.11	1.14	1.16	1.15	1.2	1.2	1.2	1.2	1.19	1.18	1.54	1.55	1.59	1.6	1.74	1.74	1.87	1.88	2.01	2.01	2.01	2.01	4.03	4.03	4.01	4.01	4.36	4.35	4.4	4.4	4.38	4.38	4.5	4.5	4.5	4.5	4.62	4.62	2.86	2.86	2.77	2.77	0.94	0.94
P67	Unknown	0.27	0.27	0.26	0.26	0.27	0.25	0.27	0.27	0.27	0.27	0.27	0.27	1	1	0.95	0.95	1	1.02	1.12	1.12	1.16	1.16	1.2	1.2	1.2	1.2	1.2	1.19	1.55	1.55	1.59	1.59	1.74	1.74	1.87	1.88	2.02	2.02	2.01	2	4.03	4.03	4.01	4.01	4.36	4.36	4.4	4.4	4.38	4.38	4.5	4.5	4.5	4.5	4.62	4.61	2.87	2.86	2.78	2.78	0.95	0.94
P50	Unknown	0.27	0.27	0.26	0.26	0.27	0.25	0.28	0.27	0.27	0.43	0.27	0.27	0.99	0.99	0.94	0.94	1	1.01	1.1	1.11	1.16	1.16	1.2	1.2	1.2	1.2	1.2	1.18	1.54	1.54	1.57	1.59	1.74	1.74	1.87	1.87	2.01	2.01	2	2	4.02	4.02	4.01	4.01	4.36	4.36	4.4	4.4	4.38	4.38	4.5	4.5	4.5	4.5	4.62	4.62	2.86	2.86	2.77	2.77	0.94	0.94
P70	Unknown	0.27	0.27	0.26	0.26	0.27	0.22	0.27	0.27	0.27	0.43	0.27	0.27	0.98	0.99	0.95	0.94	1.01	1.01	1.12	1.1	1.17	1.17	1.2	1.2	1.2	1.2	1.2	1.19	1.55	1.54	1.57	1.59	1.74	1.74	1.88	1.88	2.02	2.02	2.02	2.01	4.02	4.02	4.01	4.01	4.35	4.36	4.4	4.4	4.38	4.38	4.5	4.5	4.5	4.49	4.62	4.62	2.86	2.87	2.78	2.78	0.95	0.94
P84	Unknown	0.27	0.27	0.26	0.26	0.27	0.23	0.27	0.27	0.27	0.27	0.27	0.27	0.99	1	0.94	0.95	1.01	1.01	1.12	1.1	1.16	1.16	1.2	1.2	1.2	1.2	1.2	1.19	1.55	1.55	1.6	1.59	1.74	1.74	1.87	1.88	2.02	2.02	2	2.01	4.03	4.03	4.01	4.01	4.36	4.36	4.4	4.4	4.38	4.38	4.5	4.5	4.5	4.5	4.62	4.62	2.86	2.86	2.78	2.78	0.94	0.95
P76	Unknown	0.27	0.27	0.26	0.26	0.27	0.23	0.27	0.27	0.27	0.27	0.27	0.27	0.99	0.99	0.94	0.94	1	1	1.12	1.1	1.16	1.15	1.2	1.2	1.19	1.19	1.19	1.18	1.55	1.54	1.59	1.59	1.73	1.74	1.87	1.87	2.01	2.01	2	2	4.02	4.02	4.01	4	4.36	4.35	4.4	4.4	4.38	4.38	4.5	4.5	4.5	4.5	4.62	4.62	2.86	2.86	2.77	2.77	0.94	0.92
QC 2	Unknown	0.27	0.27	0.26	0.26	0.27	0.23	0.27	0.27	0.27	0.43	0.27	0.27	0.99	0.99	0.94	0.95	1.01	1.01	1.11	1.13	1.16	1.16	1.2	1.2	1.19	1.2	1.2	1.19	1.55	1.55	1.58	1.59	1.74	1.75	1.87	1.87	2.01	2.01	2.01	2	4.02	4.02	4	4	4.36	4.35	4.4	4.4	4.38	4.38	4.5	4.5	4.5	4.5	4.62	4.62	2.86	2.86	2.78	2.77	0.93	0.94
MeOH 1	Unknown	0.18	0.18	0.25	0.26	0.31	0.18	0.25	0.04	0.31	0.42	0.26	0.27	0.81	0.72	1.12	0.97	1.1	1.09	0.96	1.01	1.13	0.94	1.7	0.91	1.18	1.2	1.14	1.09	1.31	2.03	1.61	1.59	1.85	1.86	2.04	1.95	1.66	1.98	1.99	2.08	4	4.06	4.04	4.02	3.89	4.06	4.86	4.41	4.37	4.35	4.62	4.48	4.73	4.49	4.55	4.31	2.88	2.87	2.79	2.78	0.89	1.11
blank = water	Unknown	0.24	0.15	0.24	0.26	0.24	0.24	0.25	0.04	0.23	0.29	0.24	0.25	N/A	1.05	0.96	0.91	1.03	1.33	1.16	1.27	1.43	1.13	1.58	1.29	1.24	1.23	0.95	1.03	1.22	1.89	1.99	N/A	1.7	1.73	1.92	1.95	2.25	2.18	1.96	1.85	3.97	N/A	3.82	4.3	4.09	4.3	4.34	4.38	4.76	4.39	4.54	4.47	4.52	4.51	5.11	4.86	2.74	2.52	2.8	2.81	1.11	0.66
IS Mix 1	Unknown	0.74	0.22	0.26	0.26	0.33	0.23	0.32	0.04	0.27	0.27	0.27	0.27	1.04	0.97	1.1	1.13	1.11	1.08	1.23	1.23	0.88	0.67	1.19	0.85	1.33	1.21	1.42	1.34	1.12	2.01	1.61	1.59	1.61	1.71	1.95	1.97	2.18	2.16	2.16	1.91	N/A	4.19	4.01	4	4.31	4.75	4.07	4.16	4.38	4.38	4.58	4.59	4.5	4.5	4.36	4.58	2.86	2.86	2.78	2.78	0.94	0.94
Cal 7	Unknown	0.26	0.26	0.25	0.26	0.24	0.19	0.28	0.04	0.26	0.42	0.27	0.26	1.27	1.35	0.93	1.12	1.11	1.1	1.11	1.1	1.15	1.32	1.17	0.87	1.2	1.22	N/A	1.17	1.57	1.51	1.59	1.59	1.74	1.73	1.88	1.86	2.02	2.03	2.14	2.02	4.02	3.91	4.01	4	4.35	4.28	4.06	4.4	4.38	4.38	4.56	4.57	4.5	4.5	5.01	4.58	2.86	2.86	2.78	2.78	0.94	0.94
Cal 6	Unknown	0.26	0.26	0.25	0.26	0.27	0.2	0.27	0.04	0.26	0.27	0.27	0.27	1	0.99	0.94	1.11	1.05	1.03	1.11	1.12	1.17	1.16	1.2	1.2	1.2	1.2	1.2	1.19	1.55	1.54	1.59	1.59	1.74	1.74	1.88	1.87	2	2.01	2	2.01	4.03	4.02	4	4	4.36	4.36	4.4	4.4	4.39	4.38	4.5	4.5	4.5	4.5	4.62	4.61	2.86	2.85	2.77	2.77	0.92	0.93
Cal 5	Unknown	0.27	0.26	0.26	0.26	0.26	0.24	0.27	0.04	0.26	0.27	0.27	0.27	0.99	0.99	0.95	0.94	1.09	1.02	1.11	1.12	1.16	1.15	1.2	1.2	1.2	1.2	1.19	1.19	1.55	1.54	1.59	1.59	1.74	1.74	1.88	1.87	2.01	2.01	2	2	4.02	4.02	4	4	4.36	4.36	4.4	4.4	4.38	4.38	4.5	4.5	4.5	4.5	4.62	4.62	2.86	2.86	2.77	2.77	0.94	0.94
Cal 4	Unknown	0.26	0.26	0.26	0.26	0.26	0.26	0.27	0.27	0.26	0.27	0.27	0.27	0.99	1	0.94	0.94	1.01	1.01	1.11	1.11	1.15	1.15	1.2	1.2	1.19	1.2	1.2	1.18	1.55	1.55	1.58	1.59	1.74	1.74	1.88	1.88	2.01	2.01	2.01	2	4.02	4.02	4.01	4.01	4.35	4.35	4.4	4.4	4.38	4.38	4.5	4.5	4.5	4.5	4.62	4.62	2.86	2.86	2.78	2.78	0.94	0.93
Cal 3	Unknown	0.26	0.26	0.26	0.26	0.26	0.27	0.27	0.27	0.27	0.26	0.27	0.27	0.99	0.99	0.94	0.95	1.01	1.01	1.11	1.12	1.16	1.15	1.2	1.2	1.2	1.19	1.2	1.19	1.55	1.54	1.59	1.59	1.74	1.74	1.88	1.88	2.01	2.01	2.01	2	4.03	4.03	4.01	4.01	4.36	4.36	4.4	4.4	4.38	4.38	4.5	4.5	4.5	4.5	4.62	4.62	2.86	2.86	2.77	2.77	0.94	0.94
Cal 2	Unknown	0.26	0.26	0.26	0.26	0.27	0.27	0.27	0.26	0.27	0.27	0.27	0.27	0.99	0.99	0.94	0.95	1.01	1.01	1.1	1.11	1.16	1.16	1.2	1.2	1.2	1.2	1.2	1.19	1.55	1.55	1.59	1.59	1.74	1.74	1.88	1.88	2.01	2.01	2.01	2.01	4.03	4.02	4.01	4.01	4.35	4.35	4.4	4.4	4.38	4.38	4.5	4.5	4.5	4.49	4.62	4.62	2.86	2.86	2.78	2.78	0.95	0.93
