Sample.Name	Sample.Type	Classification	Serine_104_74.1_DP_.50_CE_.15_quan	Serine_106_60_DP_50_CE_15_qual	Asparagine_131_114_DP_.50_CE_.15_quan	Asparagine_131_42_DP_.50_CE_.35_qual	Inol_225.1_44.9_DP_.30_CE_.45_quan	Lysine_147_130_DP_50_CE_15_qual	Lysine_147_84_DP_50_CE_30_quan	Proline_116.1_43_DP_50_CE_45_qual	Proline_116.1_70_DP_50_CE_25_quan	AR.PyroGlu_130_56_DP_60_CE_40_qual	AR.PyroGlu_130_84_DP_60_CE_20_quan	Ornitine_133.1_116_DP_40_CE_15_qual	Ornitine_133.1_70_DP_40_CE_30_quan	Trigonelline_138_92_DP_60_CE_30_quan	Trigonelline_138_94_DP_60_CE_30_qual	Methionine_150_104.1_DP_60_CE_15_quan	Methionine_150_133_DP_60_CE_15_qual	Guanine_152_110_DP_60_CE_30_qual	Guanine_152_135_DP_60_CE_30_quan	Xanthine_153_110_DP_60_CE_30_quan	Xanthine_153_136_DP_60_CE_25_qual	Histidine_156.1_110_DP_60_CE_20_quan	Histidine_156.1_83_DP_60_CE_35_qual	Carnitine_162.1_103_DP_60_CE_25_quan	Carnitine_162.1_85_DP_60_CE_30_qual	Phenylalanine_166.1_103_DP_50_CE_40_qual	Phenylalanine_166.1_120_DP_50_CE_22_quan	MethionineSulfoxide_166.1_56_DP_50_CE_40_qual	MethionineSulfoxide_166.1_74_DP_50_CE_20_quan	X1.Methyl.Histidine_170.1_124_DP_55_CE_20_quan	X1.Methyl.Histidine_170.1_81_DP_55_CE_55_qual	X3.Methyl.Histidine_170.1_95_DP_60_CE_45_qual	X3.Methyl.Histidine_170.1_96_DP_60_CE_28_quan	Acetyl.Ornitine_175.1_115_DP_50_CE_20_quan	Homo.Arginine_189.1_144_DP_60_CE_23_quan	Homo.Arginine_189.1_84_DP_60_CE_35_qual	ADMA_203.2_158.1_DP_60_CE_25_qual	AR.ADMA_203.2_70_DP_60_CE_40_quan	Spermidine_203.2_85_DP_60_CE_30_qual	Spermidine_203.2_98_DP_60_CE_35_quan	AC.C2_204.1_145_DP_50_CE_20_qual	AC.C2_204.1_85.1_DP_50_CE_27_quan	Tryptophan_205.1_146.1_DP_50_CE_25_qual	Tryptophan_205.1_188.1_DP_50_CE_15_quan	Kynurenine_209.1_146_DP_60_CE_30_qual	Kynurenine_209.1_192_DP_60_CE_15_quan	AC.C3_218.1_159_DP_50_CE_20_qual	AC.C3_218.1_85.1_DP_50_CE_29_quan	AC.C4_232.1_173.1_DP_50_CE_20_qual	AC.C4_232.2_85.1_DP_50_CE_29_quan	AC.C5.1_244.2_185.1_DP_50_CE_20_qual	AC.C5.1_244.2_85.1_DP_50_CE_31_quan	AC.C5_246.2_187.1_DP_50_CE_20_qual	AC.C5_246.2_85.1_DP_50_CE_29_quan	AC.C6_260.2_201.2_DP_50_CE_20_qual	AC.C6_260.2_85.1_DP_50_CE_33_quan	AC.C5.DC._276.2_217.1_DP_61_CE_20_qual	AC.C5.DC._276.2_85.1_DP_61_CE_35_quan	Thyroxine_777.7_604.6_DP_100_CE_55_qual	Thyroxine_777.7_731.7_DP_100_CE_35_quan	Isoleucine.Leucine_132.1_69_DP_50_CE_25_quan	Isoleucine.Leucine_86_DP_50_CE_15_qual
HILIC Cal 1	Cal	Cal 1	7521461	10229336	6869671	3566904	10594845	36401825	38861598	1846735	106444418	184789	1644424	28633663	35353204	34654377	33307260	14830590	12377406	32437071	87717357	32553057	32238913	93905974	22076354	120152093	61151501	28212315	79045676	13510762	43585318	48540487	9796321	3879654	8501971	25260337	11951593	9782583	27679259	66150332	147871	369844	22671447	116582065	22508414	45366124	11252898	27982197	23788926	90659105	28566674	89738646	37492336	60871024	26961863	83821468	22275155	53389295	812899	2702129	571511	4490564	12175775	150631795
Blank = water	Blank	Block 1	N/A	303875	N/A	44264	N/A	689116	N/A	55080	849416	67738	N/A	424845	592484	333021	382027	57297	58676	1075478	1436415	N/A	55364	4367891	1005640	1042499	549879	155345	376340	141597	456273	2416784	475862	157814	349738	174737	90531	87006	703508	1894275	176020	N/A	71102	254232	86690	165503	49355	73363	39992	88272	956891	117651	79418	N/A	63118	134693	34496	43566	11238	34520	N/A	N/A	62745	658952
QC 1:5	QC	Block 1	2460621	3709839	868624	442001	630205	6189760	6655405	1096013	71953396	68951	495174	2880155	3484510	539113	519941	1625277	1419170	1350687	3165705	102186	129394	28362259	6636373	51138346	25678639	2698629	7209366	107409	317722	9575313	2074605	1972136	3581515	63338	1281892	1053484	3457558	9840920	169430	40604	6572957	33673070	5959178	12593689	364326	776105	2165555	7607313	1552135	2151115	79471	98868	538949	1435223	69145	165571	24260	82363	12905	102583	3012396	39703476
P 43 1:5	Sample	Block 1	1853649	2684844	688665	354151	343853	4270598	4512848	908468	53782971	44775	428529	3472800	4344344	380981	415478	1149331	983792	266649	213647	69097	78606	15935126	3740789	39048433	19565057	1960251	5324871	89001	238920	7360508	1618126	1650302	2948320	84856	696429	555783	2708821	7952220	188359	33548	4467260	22553267	4376544	8741737	218662	475727	1696616	5786688	1359951	1670514	62959	99813	472316	1098989	84924	170047	12026	56091	8005	93878	2807794	34234918
P 50 1:5	Sample	Block 1	1515364	2295585	490228	262880	381756	5039184	5282473	789685	55393101	47991	391556	2254467	2787386	380145	307265	1010509	800614	414740	234828	28580	44992	28904075	6730234	55698612	28221509	2001585	5881942	74574	204208	6880302	1503615	1607350	2857575	65558	1861112	1481447	2711234	7243484	199540	20937	6872625	35545130	5175469	10621377	145029	423157	1623732	5635064	1414467	1800271	60619	131553	495651	1187889	79781	202155	27315	70770	8440	73411	2661951	36262595
P 22 1:5	Sample	Block 1	1864757	2775250	611616	314356	559831	3939057	4351998	862165	54116550	48546	388941	1834513	2305990	742293	735554	1408020	1161953	1369557	3115879	119095	98763	23354144	5463679	52445003	26815735	2107192	6194835	71768	216437	8011035	1717436	1613499	2886000	45957	769398	620264	2899229	8056111	181923	26345	7016967	35430671	4960112	10629493	205456	547520	1468107	4900394	1424768	1549653	76020	90427	417293	1087054	44828	80723	33101	115198	14354	83263	2723834	33743953
P 14 1:5	Sample	Block 1	2363073	3562100	764045	392244	651650	6357303	6792577	1073758	72097749	26615	376202	2559140	3224272	457742	432275	1448470	1219273	352024	139312	42716	93110	15954768	3717258	38257975	19196068	2353405	7081099	78609	263259	9236757	2012662	2150361	3813748	71999	1037503	754222	3173786	9343276	160781	34685	4464029	22850111	5813144	12013856	426510	847794	1174028	4171834	1249949	1289013	57980	52754	360600	746259	34488	133738	21402	55431	8502	74764	2650142	34471603
P 52 1:5	Sample	Block 1	1057727	1585758	351865	184531	485298	2854761	3122245	535478	33053675	39193	384324	1015786	1279453	413084	373062	1402329	1089313	475567	431701	111462	109192	20162577	4736482	26224016	13408433	3138443	8914566	61357	169380	7889207	1644725	1297538	2421648	58751	784059	548212	2256817	6845292	141823	24989	3081865	15926902	5443531	11188843	283904	628099	1113105	4159201	1927305	1586275	69616	103908	554990	1457810	30236	90330	25543	85920	N/A	54686	1818294	25721415
P 7 1:5	Sample	Block 1	2954249	4246691	817797	422283	716580	4815714	5183875	1227890	75998752	122800	574514	1435149	1848961	342785	263944	1975416	1705495	4787827	12493619	70376	93592	35075479	8209849	22275571	11079971	3541865	10479814	83113	243189	21160595	4219540	1786903	3821621	70901	796256	642730	3210843	9485719	186857	37129	9798971	50922211	5187924	10535805	137209	306746	1413516	4763776	1751147	2332797	55828	79051	287372	820693	85300	154741	22295	114098	6777	62729	4880695	61022928
QC 1:5	QC	Block 2	2413576	3597128	862771	442931	611023	6244218	6771120	1093098	70133474	44061	584425	2822397	3489921	565581	568820	1487536	1348812	1587815	3293804	128763	148338	29311858	6876511	50319385	25861754	2496669	7047538	90791	251918	9986646	2156090	2029024	3700847	78654	1298241	924319	3385838	9731163	154738	38407	6746261	34535564	5825098	12016851	335841	804474	2176757	7666745	1441742	2152363	84929	115840	486434	1409014	98114	182752	27223	81450	9755	93130	3163531	38703002
HILIC Cal 4	Cal	Block 2	450131	622460	259182	133424	378199	1374710	1386537	82444	4493664	89296	227404	920685	1140794	1814123	1686341	545900	472275	2356749	4525322	1011538	964180	5224526	1209184	6529866	3231095	880620	2281291	445395	1399702	2333803	475558	253686	520463	868091	286907	235526	1233820	3270600	212415	27126	968921	4723317	640982	1338303	332852	759249	825631	3142635	2006575	3330915	1392694	2447514	950397	3352924	699072	1923656	21589	74871	15640	105187	484711	5467446
Blank = water	Blank	Block 2	N/A	208323	N/A	6824	N/A	178607	N/A	46135	698730	45901	N/A	64436	93700	369979	311265	25824	32198	983325	1224829	N/A	35314	1080934	233591	615567	287371	44000	100374	22142	37278	413605	87491	52512	106095	N/A	N/A	4113	97817	267583	185679	N/A	63230	159907	50420	N/A	13997	N/A	35102	41810	970747	36331	63310	N/A	28796	125879	10740	N/A	7944	N/A	N/A	N/A	N/A	326811
P 53 1:5	Sample	Block 2	1969715	2878751	782687	387636	568703	4096297	4417600	874528	57135728	32642	383895	2228120	2647268	583510	598369	906681	842853	305333	378758	158304	214967	24293997	5613680	43751877	22177393	1766886	4869544	65198	192005	8220768	1791155	1886347	3394714	156940	1720711	1340625	2983192	9152410	217603	31602	4808448	24509223	5922260	11898973	214783	596566	1839315	5983501	1576821	2134316	64391	95994	546749	1343285	74474	150172	24933	80502	15419	123692	1982070	25219258
