Sample.Name	Sample.Type	Classification	Serine_104_74.1_DP_.50_CE_.15_quan	Serine_106_60_DP_50_CE_15_qual	Asparagine_131_114_DP_.50_CE_.15_quan	Asparagine_131_42_DP_.50_CE_.35_qual	Inol_225.1_44.9_DP_.30_CE_.45_quan	Lysine_147_130_DP_50_CE_15_qual	Lysine_147_84_DP_50_CE_30_quan	Proline_116.1_43_DP_50_CE_45_qual	Proline_116.1_70_DP_50_CE_25_quan	AR.PyroGlu_130_56_DP_60_CE_40_qual	AR.PyroGlu_130_84_DP_60_CE_20_quan	Ornitine_133.1_116_DP_40_CE_15_qual	Ornitine_133.1_70_DP_40_CE_30_quan	Trigonelline_138_92_DP_60_CE_30_quan	Trigonelline_138_94_DP_60_CE_30_qual	Methionine_150_104.1_DP_60_CE_15_quan	Methionine_150_133_DP_60_CE_15_qual	Guanine_152_110_DP_60_CE_30_qual	Guanine_152_135_DP_60_CE_30_quan	Xanthine_153_110_DP_60_CE_30_quan	Xanthine_153_136_DP_60_CE_25_qual	Histidine_156.1_110_DP_60_CE_20_quan	Histidine_156.1_83_DP_60_CE_35_qual	Carnitine_162.1_103_DP_60_CE_25_quan	Carnitine_162.1_85_DP_60_CE_30_qual	Phenylalanine_166.1_103_DP_50_CE_40_qual	Phenylalanine_166.1_120_DP_50_CE_22_quan	MethionineSulfoxide_166.1_56_DP_50_CE_40_qual	MethionineSulfoxide_166.1_74_DP_50_CE_20_quan	X1.Methyl.Histidine_170.1_124_DP_55_CE_20_quan	X1.Methyl.Histidine_170.1_81_DP_55_CE_55_qual	X3.Methyl.Histidine_170.1_95_DP_60_CE_45_qual	X3.Methyl.Histidine_170.1_96_DP_60_CE_28_quan	Acetyl.Ornitine_175.1_115_DP_50_CE_20_quan	Homo.Arginine_189.1_144_DP_60_CE_23_quan	Homo.Arginine_189.1_84_DP_60_CE_35_qual	ADMA_203.2_158.1_DP_60_CE_25_qual	AR.ADMA_203.2_70_DP_60_CE_40_quan	Spermidine_203.2_85_DP_60_CE_30_qual	Spermidine_203.2_98_DP_60_CE_35_quan	AC.C2_204.1_145_DP_50_CE_20_qual	AC.C2_204.1_85.1_DP_50_CE_27_quan	Tryptophan_205.1_146.1_DP_50_CE_25_qual	Tryptophan_205.1_188.1_DP_50_CE_15_quan	Kynurenine_209.1_146_DP_60_CE_30_qual	Kynurenine_209.1_192_DP_60_CE_15_quan	AC.C3_218.1_159_DP_50_CE_20_qual	AC.C3_218.1_85.1_DP_50_CE_29_quan	AC.C4_232.1_173.1_DP_50_CE_20_qual	AC.C4_232.2_85.1_DP_50_CE_29_quan	AC.C5.1_244.2_185.1_DP_50_CE_20_qual	AC.C5.1_244.2_85.1_DP_50_CE_31_quan	AC.C5_246.2_187.1_DP_50_CE_20_qual	AC.C5_246.2_85.1_DP_50_CE_29_quan	AC.C6_260.2_201.2_DP_50_CE_20_qual	AC.C6_260.2_85.1_DP_50_CE_33_quan	AC.C5.DC._276.2_217.1_DP_61_CE_20_qual	AC.C5.DC._276.2_85.1_DP_61_CE_35_quan	Thyroxine_777.7_604.6_DP_100_CE_55_qual	Thyroxine_777.7_731.7_DP_100_CE_35_quan	Isoleucine.Leucine_132.1_69_DP_50_CE_25_quan	Isoleucine.Leucine_86_DP_50_CE_15_qual
P 60 1:5	Sample	Block 3	1873178	2821355	644651	331007	636425	4387932	4736083	803113	51349588	47845	426177	2068151	2529261	485698	389504	1495829	1240135	252784	218463	79114	81653	22134833	5157045	38388188	19358445	2266576	6309979	66408	192399	5655200	1216541	1341691	2388593	54529	753739	570185	2743872	7809344	193731	33919	3897931	20111489	5059330	10322443	156850	385314	1805120	6202092	1548195	1966565	74549	82340	512608	1206229	56732	116305	18247	41168	10034	91148	3244030	39764170
P 4 1:5	Sample	Block 3	1629867	2310652	510135	259361	321873	3749578	4008643	774912	49308596	35063	402015	1568154	2081858	351839	302129	1339290	1143245	597926	584088	64196	139626	14049819	3222210	32276364	16295338	1684080	5073913	60097	179206	5607299	1251204	1443547	2567307	40287	543923	380283	2517882	7299372	146341	35643	4155401	20981775	4404930	9185247	361918	886014	1203041	4135673	1248872	1370603	92124	74549	372919	878635	73317	136316	29484	50995	11844	61586	2318991	27141712
P 42 1:5	Sample	Block 3	2042685	2942794	714012	367665	201108	6286458	6750566	1016252	69832494	34472	447325	2232902	2845664	386000	344866	1416287	1137155	567348	183330	41603	55462	13954161	3210344	44117214	22186200	1778720	5057946	69388	224056	4877370	1049890	1028088	1899407	49671	1081301	830193	2675902	7320073	170045	27697	6493912	33133140	5369757	10947981	359235	1020065	1921592	6959283	1356304	1682051	52963	76201	469615	1176352	94091	187487	24318	57535	12774	71615	2866973	33947189
P 54 1:5	Sample	Block 3	7089405	10135642	676975	346331	403022	4858766	5214012	961972	60090176	319534	3704117	4346779	5450612	602512	487276	1021242	840188	877629	188826	76285	125286	21123594	4857962	28184978	14105077	2229730	6440017	123749	399565	6016762	1263619	1087742	1986230	68780	573992	358301	2558163	7235426	190812	31312	4691652	24895220	4751299	9724505	168920	439613	1153885	3923664	1235149	1681150	134792	57495	364426	848732	93746	185590	11171	46766	13819	93791	2481128	28571325
P 64 1:5	Sample	Block 3	1893039	2845872	617210	318912	450522	4816346	5306967	767924	46992079	42780	375304	2137816	2838787	416518	376769	1303754	1111596	1014064	209792	64587	159482	27619609	6376573	36240852	18618892	1606927	4392938	55712	185302	6583379	1396038	1061124	2001951	50922	1193542	994392	2345968	6476576	167553	24915	4432946	22492899	4339502	9226910	149260	468972	1492769	5780379	1245981	1425282	47496	61585	372564	1027339	41667	118748	7291	47781	9349	66108	1909895	24369286
P 32 1:5	Sample	Block 3	2318690	3362536	880438	448364	368492	6264043	6800714	974667	60929366	56746	392461	3011955	3688722	575790	581355	1570672	1350011	529667	253942	164232	152167	31989117	7467136	29180215	14887265	1974579	5882572	88417	253914	6630928	1440333	1615850	2897400	68448	1028276	779137	2807186	7805338	154596	34089	5122676	26891581	4931414	10204850	716321	1893983	1694575	6085949	1129609	1483690	52332	64873	457987	1013703	47385	111447	22278	50897	8963	86543	2319557	28936088
P 36 1:5	Sample	Block 3	1461704	2108758	643679	327562	408571	4513035	4831191	775158	50680591	33904	435894	2201425	2722113	408977	387148	924053	721192	240392	181650	118694	407344	14544045	3351127	34245842	17263196	1550677	4212567	71771	201273	8770442	1895297	1924788	3467475	166066	1726417	1344281	2886621	8675061	206246	28501	6276413	32025885	5238326	11491177	170097	380175	1637449	5529438	1353348	1696141	41312	72059	329410	831327	78113	166384	11841	45167	10651	87692	2389614	28761405
QC 1:5	QC	Block 4	2237781	3310859	793987	407191	514226	5675350	6169797	956512	61610270	65521	447847	2612521	3239618	556069	533335	1374180	1323903	1263302	2911255	131447	142436	26485708	6202936	45440561	22661178	2109600	6096365	75440	228728	8611286	1853168	1841328	3313774	84425	1220653	934223	3122978	9016967	225644	34907	5931209	30990503	5238439	11046805	269594	702464	1820760	6765690	1301311	1857980	82683	101103	433882	1183993	53730	131705	16954	73897	12064	108160	2836885	34403365
HILIC Cal 4	Cal	Block 4	400084	566214	222220	113793	309441	1150411	1184721	71446	3831436	24755	178196	818550	1025269	1594120	1483669	442551	429186	2036839	4017366	971273	878825	4699531	1089305	5661358	2715618	739720	2048519	394858	1214016	1929679	398025	217598	437458	731565	259884	223241	1211417	3125295	156527	25017	804435	4035260	580599	1158825	279409	626987	697568	2694336	1733410	2837101	1182302	2092982	905013	2740750	693978	1580675	16992	83875	14919	96833	365532	4634812
Blank = water	Blank	Block 4	N/A	166169	N/A	7394	N/A	156089	140928	42387	619426	73665	67800	78245	103802	345871	340917	11634	27047	922764	1032830	N/A	44197	968237	212315	602004	259037	33498	82894	12540	29484	307549	58252	54680	92490	N/A	N/A	18463	87632	217363	197308	N/A	61529	150975	33460	N/A	20058	N/A	44411	44477	782241	N/A	43614	N/A	46575	84164	29855	N/A	16851	N/A	N/A	N/A	N/A	243211
P 65 1:5	Sample	Block 4	1806430	2474696	569596	292461	379885	4587476	4929339	837838	52519758	27570	331159	2416004	3035788	675543	597468	1306182	1075470	459631	241726	93388	89451	27278683	6367567	30726641	15773097	1903160	5446606	62277	164865	5349745	1160139	1334403	2385472	89256	1128290	915263	2472929	6670580	113862	27779	3913794	19799012	5082269	10511950	342512	737360	1235058	4230335	1329815	1155005	40982	46184	332172	794303	51727	109313	10106	41308	7133	65938	1823584	25045770
P 49 1:5	Sample	Block 4	2043895	2843249	820120	419485	276540	4883272	5230572	930142	55022608	38818	485271	2454482	2927945	581490	575990	1368625	1048834	505807	216872	112087	176542	30949935	7269625	55464096	27330592	1775043	5168140	94830	258574	6908997	1467342	1554847	2891852	40990	923266	726195	2693644	7348794	162467	24953	5037085	24249228	4801353	9888764	472263	1273811	1396558	4588267	1046962	1287237	82479	82838	429662	1003451	80727	107334	36681	36648	8337	76523	2364971	29699866
P 41 1:5	Sample	Block 4	2443023	3448358	916961	460250	245843	8284341	8805812	1144882	77120047	45398	537506	3837992	4747374	359721	368906	1297735	1203759	289269	243392	81305	153906	26721402	6237295	35861505	18009130	1814606	5004345	76213	244278	6770265	1444137	1155582	2144744	59593	1537007	1145956	3546400	9487668	172770	38968	4936542	25390593	5167530	11135995	164576	428576	1722375	6505067	1134180	1433861	54092	63188	246460	738691	77803	137349	11029	57491	8370	87862	2813108	34116640
P 23 1:5	Sample	Block 4	1904887	2629927	697424	356973	412600	3488304	3782054	875849	60216320	34366	475116	1324786	1710236	776186	770154	1300769	1228894	369627	214809	69332	69879	22725694	5402134	41615679	20696978	2860543	7522744	61981	210934	5955326	1324282	1723040	3057819	34163	654315	441867	2285866	6810301	166710	29330	4697637	23486415	5245889	11044714	123030	358215	2102953	7704316	1553980	2123669	62440	88798	564166	1285174	83542	114262	11263	45186	11478	71520	2248939	28542005
P 21 1:5	Sample	Block 4	2117018	2879927	725650	365467	323755	6500744	7060985	845194	55534960	28601	373682	2970444	3678594	392844	407270	1586134	1219592	356312	396211	105088	113740	28948359	6735818	39591387	19841117	1900071	5191592	71052	216796	6303152	1396801	1698745	2941333	23162	1018070	737436	3403483	9247106	241991	33006	4300229	22138969	4738918	9780418	446379	1042910	1512875	5269631	1330953	1651316	59800	66700	502891	1351022	72508	136865	8203	39555	11893	76170	2378319	29231970
P 2 1:5	Sample	Block 4	1648470	2440626	768057	386877	339025	7178422	7610668	942053	59294740	41135	435217	2476806	2994638	556217	579189	1365672	1089919	263026	135604	74929	115832	12755272	2952922	37089938	18856130	2139598	6400152	72550	229337	10808001	2340051	2524514	4609460	155770	1480759	1160900	3225864	10208859	204285	39025	6761635	35502536	5314164	10790163	120708	326240	1324825	4698601	1207922	1667352	64866	80237	396297	928535	50845	130866	25151	52830	10718	89990	3316244	40184672
P 68 1:5	Sample	Block 4	2049892	2940325	647689	334300	509035	3785250	4037580	844888	56273385	37266	389455	1826230	2352948	1003739	1004897	916762	789125	1278773	1263563	142631	136084	20645851	4882980	42315788	21418728	1271230	3367377	55830	153272	5878914	1282085	1357502	2485331	27615	922615	668162	2782534	7684052	133009	26056	4334327	22274539	4950742	10035651	281340	712486	1442956	5377572	1404319	1527273	79201	80669	422997	1094326	26098	89712	28174	72073	12935	100768	1414111	17884091
QC 1:5	QC	Block 5	2254694	3120637	767139	383975	524546	5718234	6146717	923179	58448180	36204	404162	2684297	3233006	497268	499695	1392803	1232135	1805331	2899595	137975	385298	26200769	6076315	45604179	22881526	2158264	6058687	86452	232256	8162812	1771380	1812498	3230787	62868	1198113	936718	3175629	8918352	271427	31134	5672806	29546729	4913612	10320723	223709	678576	1816606	6966104	1258532	1928352	55867	93696	506865	1167555	77397	148457	24093	73306	13249	83533	2856856	34700715
HILIC Cal 4	Cal	Block 5	394320	541048	233521	108153	307666	1142731	1234237	63913	3568715	25677	127725	802460	983160	1627852	1489421	444313	374955	2048174	4062188	973319	919212	4608062	1043525	5455097	2693472	750592	2120809	356640	1161177	1869149	386970	210573	423582	633732	281558	216549	1286741	3213370	177096	23479	783665	3919459	585328	1185758	286977	667052	692828	2528504	1955738	2770962	1241184	1929158	976470	2585389	636851	1465942	34739	73220	12558	108231	385855	4484315
Blank = water	Blank	Block 5	N/A	200018	N/A	6861	N/A	157442	155841	35442	629962	51837	N/A	50589	107799	325459	317652	N/A	16054	887791	1012042	N/A	49197	986216	221196	575970	271042	50953	N/A	14569	31848	304042	68077	40693	89165	N/A	N/A	12345	85187	207364	193853	N/A	60386	166374	47179	N/A	9782	N/A	23113	33786	858632	N/A	34478	N/A	35914	87079	12970	N/A	3511	N/A	N/A	N/A	29380	314358
P 58 1:5	Sample	Block 5	2491017	3801145	916155	477917	429989	8527499	9137381	1050005	72133290	39466	470638	3182453	4002269	557556	502397	1686751	1441907	2597977	6292047	114800	154689	36556167	8389157	34115274	17164303	2654330	7366405	75813	220483	7846287	1611687	1127396	2206797	70079	1486560	1140682	3376623	9286114	125613	31605	3916845	20688480	5903543	12761454	215993	580157	2138782	7849451	1175990	1456427	63182	50781	379869	1059018	72018	102694	15608	40709	18729	87098	2859454	37946803
P 45 1:5	Sample	Block 5	1936812	2928043	610829	307898	296508	3723668	3982549	906430	54685698	20125	339568	2450750	3106747	429531	405393	1011352	859558	236238	201502	94659	98059	21983698	5099576	41016705	20330749	1377832	3860547	48601	140562	6388893	1399916	1561458	2785312	109219	566023	409268	2272836	6457347	133157	24386	5270710	26336498	4452853	9420584	253971	655535	1411275	4834856	1237309	1321836	44661	61643	375391	961987	83811	131343	15207	36862	N/A	47237	2194857	26978467
P 57 1:5	Sample	Block 5	2378686	3294697	687807	357146	491483	3879261	4138336	772021	49431864	27099	464005	1959790	2475544	674309	656195	917156	772849	347246	159857	97720	105152	19972763	4616450	39750474	20001444	1167040	3325935	74432	182271	6210386	1346875	1420273	2561893	56374	719707	530846	2540537	7520013	127173	30721	5206019	26689548	4930685	10445583	166766	439705	1539430	5749447	1309821	1775690	32342	78997	460286	1199452	74235	130720	22040	46169	7007	64924	1403310	17650760
P 18 1:5	Sample	Block 5	1929457	2765828	670486	346308	545266	4466361	4647507	837645	51803362	39992	511780	2014679	2543700	335114	318894	1268747	1030606	1572159	3716506	216975	206075	21993401	5129114	32194619	16690262	2452247	6594447	80889	237470	7527808	1612058	1726426	3161384	50052	461357	347630	2794306	7938174	177726	37203	3786064	19790529	5085095	10879973	253067	622314	1568018	5757067	1772952	2138956	124949	129823	687463	1843331	47017	65451	30853	77699	11024	107957	3372714	40777529
P 13 1:5	Sample	Block 5	1489480	2245454	436950	223837	481115	3587354	3839780	767174	45757612	23242	355918	1583139	1973747	357568	285391	901246	818022	1474599	3540434	96212	158197	20088101	4623748	35877087	18079331	1486272	3870047	54213	161180	8806602	1808980	1277194	2405886	68714	645476	507878	2133017	6020444	204607	27070	5833615	30123459	3484007	7478568	125796	316563	1635106	5846739	1184726	1648753	85765	63938	447059	1065162	42684	112354	18087	39374	11526	67644	1974298	24684732
P 11 1:5	Sample	Block 5	1745645	2596228	627257	325282	642352	5623087	5976096	792760	49530619	42208	456950	2084906	2609583	343494	399185	1372851	1140730	565334	144774	48863	104456	23845517	5503308	43046789	21778378	2337453	6452634	45375	179292	9150885	1976252	1916609	3491144	96559	829469	647332	2578802	7455274	125303	26580	6709807	33846559	4808497	9918675	215452	516582	1708470	5963244	1086618	1717989	34124	89043	467199	1092527	59708	127311	25506	51479	4411	74503	3169095	40246480
P 29 1:5	Sample	Block 5	2445596	3361294	1039837	524312	576755	7035233	7608507	974267	65059298	31245	514051	3764627	4612054	472421	481002	1722362	1384300	2869050	7279941	115849	127508	39483094	9217024	57639412	28840214	1680136	4888079	93963	289332	8919550	1902848	1740014	3177806	67124	1583742	1159979	3392606	9205372	145925	36510	5777235	28915931	5200043	10928690	301695	749959	2339495	8747553	1237299	1800643	65630	64401	347764	950709	77030	143116	19206	53249	15334	126346	2665714	32349276
P 34 1:5	Sample	Block 5	1864460	2734474	525288	264221	444199	3073840	3248927	739804	48315410	38973	444190	1623797	2040455	434883	432330	816432	725479	1679535	3939013	115705	327997	18479064	4266952	32695245	16513331	1181477	3209517	58914	184052	6832958	1499010	1674182	2945194	44023	589013	391841	2324045	6734369	166306	29780	3803996	19428150	4564069	9577986	253615	644214	1621904	5753973	1114447	1289232	93410	82738	396780	963088	37953	86681	25550	79059	16037	89055	1417707	15675491
QC 1:5	QC	Block 6	2123674	3328050	741311	373844	496118	5594736	6015578	932675	61692342	44129	592535	2491426	3228140	533164	535574	1337795	1158961	1160442	2729060	129655	135337	26051339	6019828	43555884	21839978	1926209	5444095	75631	221971	8036237	1746695	1752972	3141114	69602	1150531	822770	2965382	8779320	121777	36874	5960255	30077146	5130584	10853535	254365	634793	1850609	6617961	1304847	1921756	77068	77582	463343	1184265	71354	144413	23750	62842	7531	98305	2822068	33373381
HILIC Cal 4	Cal	Block 6	376852	510649	202819	100723	270214	1015081	1145698	86017	3735257	78836	207041	771045	943788	1551829	1466246	400036	333696	1893132	3753685	945125	900031	4645616	1085621	5175546	2664692	704391	1956943	354318	1115931	1790114	367859	212222	404966	662998	236011	199937	1267699	3118722	122557	18182	752163	3770908	524659	1051744	288335	596374	748221	2600416	1666995	2537794	1223588	1815704	808832	2271512	688660	1509739	20429	59381	14825	108409	382803	4044550
Blank = water	Blank	Block 6	N/A	170461	N/A	7131	N/A	150745	153934	22539	668263	65268	N/A	73530	108948	325433	286353	N/A	21057	834355	895341	N/A	31760	1011299	207607	569438	246993	41570	N/A	11370	28085	325894	70533	49671	89332	N/A	N/A	11417	75765	225947	171221	N/A	43117	160847	73600	N/A	10422	N/A	24743	28519	720343	N/A	45012	N/A	40337	62747	10585	N/A	17526	N/A	N/A	N/A	N/A	265555
P 55 1:5	Sample	Block 6	2054728	2970654	508510	261177	271090	3969448	4310630	728167	47118827	29596	348177	1968955	2419788	346502	253039	763787	629896	505105	173422	69401	84458	18879584	4333108	36141186	18126974	1320354	3497428	46498	132761	6124247	1326499	1258531	2279783	57192	576063	470602	2469510	7165833	149091	24665	4089229	20798632	3980550	7952311	212361	550336	955436	3241700	1131246	1291621	89316	91980	664324	1651390	45308	117331	17382	28972	9099	79896	1582935	19708511
P 31 1:5	Sample	Block 6	1842362	2676966	500419	250805	332141	3290524	3521491	753631	47901413	20037	297607	1472370	1792001	639026	603760	1355274	1114785	266708	159890	59683	89022	17029376	3987870	26213275	13128232	1545344	4335650	57113	178159	6197851	1366041	1475514	2597230	58329	555526	406513	2090854	5915933	158031	25540	3039866	15669377	4559050	9890544	241950	611433	972777	3567548	1006222	957505	23795	35121	229186	711240	61060	87487	12773	40216	9789	79847	1657731	21197255
P 51 1:5	Sample	Block 6	3180029	4861753	988035	509307	464937	6147874	6497026	1442741	94879356	56088	592869	3548122	4261694	492307	490616	978918	819760	565595	106752	131913	556051	27195606	6230429	62794862	31419486	1171523	3109538	89480	282132	8848789	1911051	2225722	3956132	58431	1429619	1122516	4462652	12263088	133934	48625	7421195	37500278	6127193	13395848	322978	761954	1700761	6233602	1210243	1998028	97605	129337	585099	1378598	59990	116156	35383	118864	15772	149641	1689457	19661171
P 37 1:5	Sample	Block 6	1489493	2260740	609769	302904	298502	4479514	4826998	666393	42153430	35784	421141	2269366	2842200	408858	406605	1086066	918475	244517	140078	53603	169349	8886882	2061437	25960463	13231255	1700527	4873889	64110	189123	6130631	1316921	1225036	2211254	66864	853679	588448	2349089	7081724	145545	24851	5509728	28133944	4447456	9251768	108546	268738	1073031	3758007	1067313	1201181	78091	59865	310021	619481	69298	127417	8535	45467	7300	53407	2704770	29370030
P 19 1:5	Sample	Block 6	2210632	3282230	1012671	512413	644718	6872654	7432259	1202000	82738983	23207	423735	3140713	3885607	960662	966189	1665345	1411332	1970833	5036265	262013	698873	29112074	6762082	42243003	21240169	3033852	8506605	128134	409759	8562148	1935172	2489144	4333932	154826	1639719	1216438	3312927	10025461	113671	46663	10164890	51976723	7380401	15070127	254556	630732	3017555	10851881	1638561	2933855	94830	85606	596247	1235460	69388	168082	22298	81088	16315	123164	4920429	60057655
P 12 1:5	Sample	Block 6	1589068	2371057	563300	282773	433891	5423678	5800787	737816	51233088	32703	465452	1987096	2495190	316760	309665	1211583	988228	1946797	4780865	94401	135479	17132864	3997375	34894255	17185417	1552447	4255169	63380	175739	7021446	1512190	1518286	2700946	47579	882546	647472	2593841	7571519	140942	27718	7019368	35429451	4148906	9029946	165274	361601	1737965	6046912	1352916	1359092	77366	60248	339967	877495	83785	128652	9780	55736	8897	77516	2525552	28972902
P 15 1:5	Sample	Block 6	1934518	2951262	842270	428119	442001	7565431	8146914	888458	61665259	21087	479598	3016706	3776892	401431	425052	1493097	1217521	623372	548547	174090	417250	28466614	6704260	31397144	15859010	2090638	6015756	84478	266560	7320230	1602273	1774895	3166794	78078	989905	797447	2799896	8475200	131623	35337	6915572	35830174	4630703	9756533	610405	1518300	1896569	6691503	1001687	1637004	52207	92785	507802	1256002	52072	141173	32751	50392	10868	81723	2715507	33489758
QC 1:5	QC	Block 7	2102806	3130465	716275	372770	465110	5688908	6168903	882293	59738112	38991	551949	2667986	3298430	565138	551369	1318627	1082136	1346088	2661862	142168	531319	26351312	6132549	42916250	21358349	1901187	5367913	73991	233240	7992497	1703591	1711019	3115068	72848	1162720	906179	2969498	8576639	197905	33984	5780827	29823042	5254019	10548740	237146	557382	1799442	6481969	1265306	1799882	74317	63684	505563	1103927	94761	121540	25854	48533	13567	89004	2760896	32623567
HILIC Cal 4	Cal	Block 7	371104	521773	196594	97443	254354	1028146	1130393	128249	3526840	43584	182273	758178	940291	1532367	1516349	378429	327841	1746688	2772112	964379	1079755	4476324	1056737	5137667	2511174	663797	1723019	338729	1109258	1720291	351968	207464	393896	672205	245840	203408	1293118	3144787	160157	17497	741747	3523784	566870	1085403	256926	607332	688537	2368762	1635413	2557261	1234444	1795066	733424	2380456	579600	1607849	16604	73105	13102	124323	336266	4184376
Blank = water	Blank	Block 7	136062	190013	13897	N/A	N/A	152584	N/A	12246	653515	19060	N/A	74751	116138	314510	221329	N/A	65684	786850	908431	N/A	48750	942881	213412	589232	253003	27964	N/A	7819	30392	338607	69351	46617	90316	4706	N/A	12086	95290	228515	192108	N/A	50541	144518	31748	N/A	10421	N/A	16481	24241	920672	N/A	41486	N/A	26255	80826	20292	N/A	N/A	N/A	N/A	N/A	28823	187359
P 62 1:5	Sample	Block 7	2173301	3294036	553587	288058	508189	4804541	5173999	788580	47147975	27751	400260	2382406	2953073	419765	433806	1058156	900802	361854	161750	50497	86538	26344548	6124262	44642860	22398436	1726492	5047281	44916	149965	6872916	1484243	1506700	2737291	79718	652549	487098	2482682	6825466	123948	28852	6224769	32496921	5253014	11315640	286629	791214	1177945	3972707	1308835	1359676	83705	81296	534404	1266536	28657	83858	17247	61264	7653	70365	2285176	29067811
P 39 1:5	Sample	Block 7	1639473	2381095	543231	278776	434358	3577912	3919005	822108	52038223	35941	504338	2097049	2635534	475295	470626	1010329	939530	471982	113933	29827	82228	19484768	4530604	51495695	26159230	1144667	3062689	62679	164103	5476255	1172374	1159343	2078340	43461	864002	637954	2586665	6982220	140301	29512	4968420	25382985	3850652	8118253	128601	322892	1251200	4194677	1000072	1231259	74419	65070	352673	819060	61458	106086	28391	41834	13996	71301	2056169	22769858
P 61 1:5	Sample	Block 7	1840908	2878184	687856	341015	434551	5438550	5852615	786723	51669031	34643	557044	2298826	2858941	451731	447787	1118808	1057611	499045	1045991	240785	265391	29640925	6777706	56698726	28549856	1776763	4948150	49816	164955	6741541	1432173	1403171	2559446	41115	1439658	1080005	3047765	8097168	97338	33795	5108013	26109264	5025295	11072733	228881	505422	3911140	14793850	1447748	2511650	74085	109420	820628	2021702	85156	160046	17312	68313	21299	156759	2325225	27603181
P 5 1:5	Sample	Block 7	1445558	2315185	423750	214785	484143	3485109	3755154	614104	42953511	60486	319699	1889072	2421499	433996	472330	1009718	783603	213648	102077	39263	105096	17859933	4176095	41017904	20654174	1285400	3550184	52466	157486	7286037	1545473	1567631	2815621	43009	617383	416874	2577303	7504739	140304	29584	4533618	23235605	3917356	8226885	110453	289593	990949	3476234	941083	1130787	48330	73222	255725	596116	24646	65782	16022	49303	14589	82663	1961516	21572801
P 26 1:5	Sample	Block 7	2267308	3430103	785711	408922	521578	5654434	6029952	887166	57055332	36183	620060	2081096	2663986	504881	480295	1421517	1210958	560192	1168826	121679	291266	18977055	4389316	35440361	18055496	2056529	5717808	75816	255889	6310169	1416412	1809922	3169059	42542	881095	647062	2650812	7966090	170232	32744	6341860	32698296	4321937	9364561	153041	312656	3254451	11732162	1373290	2314996	64106	93054	564123	1384552	62973	146373	19684	59247	14797	133594	4285969	46478121
P 28 1:5	Sample	Block 7	2705831	4190585	836484	413049	510707	5861304	6525927	1104685	68420530	36853	415317	2286671	2875740	371265	377431	1635043	1271056	507509	141840	66497	89193	23513513	5511520	33497680	17085625	2086707	5669548	69157	225573	5641095	1238677	1484583	2634998	65967	673008	523061	2459567	6747777	83002	27288	3621357	18944358	5707865	11288248	280934	672892	1286671	4690412	1174393	1255279	79560	95368	413764	1080242	31352	70771	8833	38265	12255	73710	2605322	32006784
P 63 1:5	Sample	Block 7	2215559	3332359	882913	448862	291069	6370302	6924685	1096847	71255188	54783	630609	3787198	4753425	359675	353053	1286646	1141375	393603	129930	85173	176194	34816099	8160579	61075020	30919462	1451172	4182626	75228	226732	8164263	1709008	1441114	2678897	71757	1555381	1207943	3129606	8528177	142722	32466	6936510	35989710	5631014	11730079	171213	380099	1686185	5891109	1191120	1589138	44853	61107	418119	911621	65601	162009	25307	44954	12885	96737	2415879	31948512
P 3 1:5	Sample	Block 7	1371168	2130188	542904	272861	491048	5256372	5665066	727482	45846555	47930	387765	1640036	2050057	355958	391358	1151865	1034222	2608590	6557846	124549	139167	20642761	4781122	25953475	12970822	1949919	5275723	59542	189533	6055341	1334489	1498616	2685306	28743	669470	532190	2578858	7721199	173803	23685	7756593	39275893	3988145	8799391	99618	285549	1092334	3626943	1319306	1424146	74188	88260	340359	851449	45580	142774	17951	57205	10015	62010	2617957	32066268
QC 1:5	QC	Block 8	2100035	3181991	742595	370811	479884	5744245	6161485	897890	61376096	39225	558450	2627394	3310896	587476	571501	1426822	1160712	1080645	2556662	126758	135827	26210984	6102314	44099378	22165060	2001339	5518680	70216	241814	7969041	1689438	1711500	3092052	71299	1159179	877922	3032475	8725784	141220	30570	6296116	31720532	5328695	10792113	233859	574689	1862346	6699807	1395515	1876203	81470	71430	534680	1168040	43968	142658	28243	69244	10719	110380	2674227	33336916
HILIC Cal 4	Cal	Block 8	366464	506714	189099	97645	252023	1040501	1152936	139553	3454021	40481	145696	742781	912413	1544807	1466470	389830	286025	1816496	3461473	901007	870080	4770540	1078287	5134229	2566828	757956	2020350	328279	1077021	1736236	351014	198374	413242	653709	255120	203839	1354324	3419559	128021	19543	727380	3594746	603453	1243053	267552	620632	670533	2498898	1861145	2627605	1172049	1887073	813982	2600446	662277	1615208	32364	75373	21567	146396	353930	4277038
Blank = water	Blank	Block 8	N/A	211076	N/A	N/A	N/A	158337	148471	35515	643045	34149	N/A	59477	108642	286442	254126	N/A	70980	850497	969419	N/A	47492	896130	219933	563990	263823	48429	N/A	9788	22356	294818	64770	46587	77017	N/A	N/A	11384	88037	209478	135664	N/A	49554	143088	63049	N/A	11462	N/A	19986	41123	898679	28505	50672	N/A	47279	121357	19203	N/A	10295	N/A	N/A	N/A	N/A	274397
