Sample.Name	Sample.Type	Classification	M243_N.Methyl.Alanine_104_42_qual	M243_N.Methyl.Alanine_104_58_quant	T246_TMAO_76.1_58_qual	T246_TMAO_76.1_59.1_quant	C282_Choline_104_58_qual	C282_Choline_104_60_quant	C178.Cytosine_112.1_69_qual	C178.Cytosine_112.1_95_quant	C242_Carnitine_162.1_103_quant	C242_Carnitine_162.1_85_qual	C261_Creatine_132.1_44_qual	C261_Creatine_132.1_90_quant	T248_Trigonelline_138_92_quant	T248_Trigonelline_138_94_qual	S240_stachyhydrin_144_144_qual.check	S240_stachyhydrin_144_84_quant	H030_Histamine_deriv_247_154_quant	H030_Histamine_deriv_247_95_qual	T230_Taurine_deriv_261_126_quant	T230_Taurine_deriv_261_136_qual	C251_Carnosine_deriv_362.2_207.03_quant	C251_Carnosine_deriv_362.2_269.02_qual	A368_Anserine_deriv_376.1_241.03_quant	A368_Anserine_deriv_376.1_283.03_qual	M262_1.Met.His_deriv_305.1_124.03_quant.must	M262_1.Met.His_deriv_305.1_83.07_qual.must	H102_Hippuric.acid_180.1_105_quant	H102_Hippuric.acid_180.1_77_qual	H096_t4.OH.Pro_deriv_267.1_132_quant	H096_t4.OH.Pro_deriv_267.1_86_qual	M263_3.Met.His_deriv_305.1_168.04_quant.must	M263_3.Met.His_deriv_305.1_212_qual	P265_Phenylacetylglycine..PAG._194.1_76_qual	P265_Phenylacetylglycine..PAG._194.1_91_quant	E035_Ethanolamine_deriv_197.1_136.02_quant	E035_Ethanolamine_deriv_197.1_62_qual	G121_Gln_deriv_282.2_130_quant	G121_Gln_deriv_282.2_84.05_qual	IS_L.Glutamine_288.1_135.1_CE25_quant	IS_L.Glutamine_288.1_89.1_CE38_qual	H163_HArg_deriv_324.1_189.03_quant	H163_HArg_deriv_324.1_84.06_qual	G004_Gly_deriv_211.2_136.03_qual	G004_Gly_deriv_211.2_76.01_quant	IS_Glycine_212.1_136.1_CE25_qual	IS_Glycine_212.1_77.1_CE15_quant	S130_Ser_deriv_241.2_106_quant	S130_Ser_deriv_241.2_136_qual	IS_Serine_244.1_109.1_CE15_quant	IS_Serine_244.1_136.1_CE30_qual	N218_ADMA_deriv_338.2_203.03_quant	N218_ADMA_deriv_338.2_46.08_qual.must	S241_SDMA_deriv_338.2_172.03_qual.must	S241_SDMA_deriv_338.2_203.02_quant	M224_Met.SO_deriv_301.2_237_quant	M224_Met.SO_deriv_301.2_88_qual	C243_Cit_deriv_311.2_159.03_qual	C243_Cit_deriv_311.2_70.07_quant	S205_Sarcosine_deriv_225_136_qual	S205_Sarcosine_deriv_225_90_quant	A364_b.Ala_deriv_225_136.01_qual	A364_b.Ala_deriv_225_90.01_quant	G152_Glu_deriv_283.2_148_quant	G152_Glu_deriv_283.2_84_qual	IS_L.Glutamic.acid_288.1_153.1_CE15_quant	IS_L.Glutamic.acid_288.1_88.1_CE35_qual	A221_GABA_deriv_239_104_quant	A221_GABA_deriv_239_87_qual.must	T183_Thr_deriv_255.2_120_quant	T183_Thr_deriv_255.2_74_qual	IS_Threonine_260.1_125.1_CE15_quant	IS_Threonine_260.1_79.1_CE30_qual	I038..I056_3.IAA_176.1_103_qual	I038..I056_3.IAA_176.1_130_quant	A362_5.AVA_deriv_253_100.02_quant	A362_5.AVA_deriv_253_94.01_qual	P264_Pyrrolidine_deriv_207_114.01_quant	P264_Pyrrolidine_deriv_207_72.05_qual	I079_3.IPA_190.1_130_quant	I079_3.IPA_190.1_172_qual	S212_Serotonin_deriv_312.3_115.09_quant	S212_Serotonin_deriv_312.3_160.04_quant	M177_Met_deriv_285.1_133_qual	M177_Met_deriv_285.1_150_quant	IS_Methionine_292.1_140.1_CE25_qual	IS_Methionine_292.1_157.1_CE15_quant	O089_Orn_deriv_403.2_175.03_qual	O089_Orn_deriv_403.2_310.01_quant	C260_Cortexolone_347.2_109.1_quant	C260_Cortexolone_347.2_311.2_qual	K112_Kynurenine_deriv_344.2_146.03_qual	K112_Kynurenine_deriv_344.2_192.02_quant	T184_Trp_deriv_340.2_146.04_qual	T184_Trp_deriv_340.2_188.03_quant	IS_Tryptophan_348.1_151.1_CE35_qual	IS_Tryptophan_348.1_195.1_CE25_quant	P187_Putrescine_deriv_359.1_114.04_qual	P187_Putrescine_deriv_359.1_266.01_quant	IS_Putrescin_363.1_118.1_CE35_qual	IS_Putrescin_363.1_270.1_CE15_quant	C233_Cysteine_deriv_392_177.06_qual	C233_Cysteine_deriv_392_223.02_quant	C134_Cadaverin_2xderiv_373.1_128.03_qual	C134_Cadaverin_2xderiv_373.1_280.01_quant	S122_Spermidine_deriv_551.2_193.05_quant	S122_Spermidine_deriv_551.2_416.22_qual	T249_Thyroxine_deriv_912.7_731.56_qual	T249_Thyroxine_deriv_912.7_777.53_quant
blank = water	Blank	Block 1.1	5363.143897	191511.3186	7558.075309	35154.44395	219057.4818	107022.3991	3314.411251	6606.144926	118426.8133	244137.5807	3520.507405	1.43E+05	35178.40071	3195.140618	752312.1779	26643.37576	1914.076136	2469.615245	957.917455	624.1366201	2193.157478	1443.95772	980.0317962	803.9792771	1379.146678	524.775981	4936.686799	35114.97931	1327.594029	1840.118208	1428.96006	1162.912409	108.1315631	4930.999574	2798.662501	1366.674435	9326.427289	325.6415038	635.1497221	134.1305739	1219.806263	306.5969175	653.3506658	403.348697	4951.058218	2889.057085	712.8747895	1438.268168	609.0072892	4766.804737	3963.305384	1101.436376	791.8649357	775.9653859	2089.068896	675.1782147	999.2624123	933.6087305	919.9231012	625.674635	1186.797981	174.7990331	N/A	605.1383235	1141.325536	1041.582089	342.8429218	332.6102925	1683.134542	1002.410046	1587.451678	1247.537749	2703.849399	51825.39051	4157.528863	1282.706349	88296.82761	12957.45235	16323.1341	19968.00689	8184.566296	47882.0786	994.1435267	3189.786489	1031.352518	1410.744643	4597.816038	6407.902915	2953.707317	8211.968941	5684.977928	8278.991134	5850.829399	27579.27371	6183.089793	11467.37668	25238.82427	84878.25454	4312.523034	31492.93716	791.0189697	408.9756547	15414.5216	55327.48762	66444.87016	104978.056	4097.761123	6733.992097
MeOH 2	Blank	Block 1.1	6201.446656	93052.57702	3616.240534	20567.38012	89658.00117	107909.6651	25532.45532	13554.71504	107624.0432	179734.817	1838.511977	9.99E+04	4380.284408	65419.40466	636479.8879	26948.48398	1039.537841	2462.164843	1357.697862	785.0597925	6427.30942	11514.60531	1376.029098	1646.633332	582.7317349	1312.393375	5009.824515	34501.54572	1680.464531	1215.856224	3931.767428	1147.693157	3432.226146	7781.226008	15788.30397	3361.525564	1862.732333	533.2630468	961.116363	319.3654981	1624.6081	472.8251215	2000.602784	4230.994559	2200.378746	456.8812336	3390.809616	2045.391109	2337.359413	9812.348701	486.0543001	9685.416498	1992.46734	937.2367488	9627.13941	412.9204885	1775.274855	320.6521427	1790.080433	240.5770777	2734.405849	1276.184256	2487.877	1906.199002	531.3567681	614.387667	1928.514171	922.570466	5237.773129	1429.997677	492.538932	473.00744	1715.031558	54005.27842	1503.165291	582.0133571	11633.21593	5777.56199	4427.273083	11015.42836	4466.504546	9573.824992	2681.669278	1206.555517	1244.459203	8552.164406	5131.151762	2378.185492	1470.796211	7674.464119	1983.983316	1561.854139	8452.048177	5146.320543	4364.274185	85769.67915	15528.64085	58413.26785	9832.714567	18855.47991	8817.431244	752.3333196	17451.06772	67149.99628	37373.77599	74169.4185	936.4637818	1533.238609
QC 1	QC	Block 1.1	199221.315	170507.2209	308367.77	187637.4485	884224.9273	2003367.778	14444.25092	44325.90106	555045.3386	624516.2883	209163.7554	5.16E+05	202389.788	96465.65227	823506.6174	104012.6753	222920.5101	129943.5439	2573436.872	1033179.725	500171.6719	546043.2968	29661.59252	22903.42605	559671.8542	116464.9707	1574850.431	1107686.513	9856907.865	4293110.293	396071.3426	870518.7391	191902.5379	321399.5596	59908.26	76482.52372	10514201.19	11570539.49	622253.8536	516052.3765	219740.3612	110784.9352	21426007.07	24863078.3	1649591.786	1630871.231	3642739.904	2197652.562	13114601.76	4933110.781	323372.8396	32234.56224	47165.45308	203518.349	144681.8332	63738.10768	856169.0379	930981.5104	38795.72108	110000.6139	212237.081	424166.0406	4279605.49	2916435.685	7001332.639	2318996.154	11275.62799	8696.241536	28554003.78	9539290.651	23375187.5	8779503.991	7973.731687	41946.86251	125195.7619	83798.27557	353008.5173	117018.2542	88851.6605	35544.45539	92049.71037	483219.3127	3266652.002	6632374.703	953875.5661	1693573.635	6110094.159	13031292.39	91205.25062	14259.53375	29831.47006	59939.61931	3950670.936	8699121.613	6134766.762	12672229.62	124327.494	445665.1147	5740386.384	19386961.28	734190.5634	1134698.412	114966.979	465223.5635	54148.77646	83694.08255	6955.088249	17033.33871
P78	Sample	Block 1.1	226582.4644	222706.867	81202.82178	50567.85874	1050339.225	2517117.84	17676.34092	49405.90996	577820.5016	784740.2443	128054.7583	5.48E+05	292839.2566	137395.3729	889900.521	137958.96	30902.68904	15120.28493	5008292.083	1909406.271	905366.9071	1132663.01	55546.15072	21118.76097	666156.5379	140231.0726	511851.1731	395932.3122	17233026.26	7553646.137	508717.8758	1075831.659	390206.081	650205.159	45968.42296	53154.01457	14804287.65	16397408.63	943066.5661	779763.6087	561093.5229	327976.7623	36369044.74	43475799.21	2479910.813	2765313.87	5678290.183	3394479.125	16763395.84	6946096.8	648234.7967	67166.7976	94947.84689	434309.4648	274676.6144	153316.3729	1876088.605	2068512.613	102522.9744	315170.4477	422978.5691	766220.9982	5430712.016	3796954.593	10294490.81	3420020.222	15006.0926	9078.472036	74490958.37	26105744.63	37432761.97	14225204.4	9359.232969	43143.16268	99140.52793	46170.0662	318460.9544	89590.18293	74292.21699	28486.63555	16311.02983	84284.02747	6312541.922	12939342.6	1521726.242	2995301.374	10741710.37	21724098.42	139963.6277	N/A	48097.60141	66145.08737	7158384.465	16863758.18	11214569.52	23803112.19	164475.2759	563360.8292	9514595.64	30580945.28	1056120.576	1951714.888	75023.8183	325854.3232	52816.45137	66239.63751	17277.9376	36299.45988
P69	Sample	Block 1.1	319484.197	336831.3422	567678.7352	359390.6373	1585200.525	3921080.263	30324.34681	110668.4201	805716.4832	991625.7278	217193.379	7.97E+05	386833.9115	185341.579	1924219.527	273274.6876	148655.6852	90259.11207	5423852.57	2055783.934	1659308.875	2031358.357	153421.9588	112608.3016	1314548.377	283336.2335	6018959.087	4420322.045	23271852.58	10347192.44	1046424.162	2311082.008	526874.6427	831062.6425	322628.6074	362382.5594	26606670.89	26755157.52	1468863.677	1266238.38	471159.5407	299624.2268	41984706.41	47753807.15	3119121.612	3522751.821	8495487.562	4599496.873	24636162.82	10078147.73	1175133.414	121806.5703	145151.4499	685067.9272	391284.807	206914.6507	2605346.808	2714930.16	96940.40065	307713.8951	592301.0154	1077414.35	15431122.6	10247451.03	16822534.57	5861767.586	27490.12893	23551.95187	95445215.86	31910732.89	51839854.92	18759321.76	10625.85724	80544.17671	285033.3855	151941.0945	683630.1658	205771.0113	134148.4375	36325.73767	40908.51493	211943.0655	8806026.481	17187857.42	2092248.215	3994593.559	11976680.06	25337329.33	196103.428	6492.037156	79125.67405	118329.4461	8380496.355	18320426.1	15729867.32	31727461.34	279934.7753	967872.5864	13693791.3	41095216.22	1650569.081	2933497.587	771709.2785	2842484.361	84632.62295	121402.0417	18947.92663	42523.62145
P40	Sample	Block 1.1	202608.3108	179986.1344	235778.6111	132486.9199	822083.6938	2086563.428	17458.94892	34014.45053	1239872.781	942693.8382	295224.4276	8.17E+05	203593.793	128943.8782	1765174.716	237867.4026	236864.2139	130086.637	1883817.157	724726.2171	931266.5153	1005657.224	60900.77756	34527.53874	1361345.138	284266.2504	2500331.301	1799648.401	17149575.04	7444454.192	761134.1786	1920264.866	582164.7654	977245.2982	87561.99091	86585.32509	23320748.92	24805892.94	1337238.472	1035640.588	536794.7158	306710.6283	36224800.69	41293353.42	2576071.058	2846730.463	5828145.618	3304369.815	20428991.86	8225377.65	605311.2168	62890.10091	127520.1781	478803.4645	179721.5141	85662.27567	1702764.725	1902530.759	25998.44308	83033.08062	204904.4029	340166.8637	17699766.5	11239684.63	15830862.17	5537805.118	14135.04898	9873.757358	27078212.18	8870408.778	41503538.04	15491660.26	5063.208162	20455.78542	200253.9839	101809.3213	507206.4971	153125.2577	55531.95687	25523.89773	48118.85245	246981.084	5146975.705	11246381.71	1648619.821	3131058.443	7098750.806	14892319.16	138330.6011	19853.73652	23703.01686	35095.69873	3175915.549	6244845.678	11484717.38	24386966.52	161452.1087	520468.8695	9606475.383	30924243.06	1082664.04	1901626.457	163029.5291	629245.8484	41070.47508	59180.85197	9320.957047	22871.13348
P64	Sample	Block 1.1	128200.2122	136070.7086	58355.85419	22917.1177	516579.0907	1373097.06	11671.35353	25107.0969	650072.0661	803060.691	65862.47209	2.52E+05	203698.5655	94761.51066	523519.7151	91886.22558	224086.4433	123399.3705	3461978.333	1438822.241	855470.3374	951903.3548	67264.48514	44143.24944	1069726.031	225585.6777	597625.8025	421579.2301	20985300.81	8848919.642	693882.391	1509372.165	548281.2602	860174.4853	57044.89082	59215.30278	29643451.25	32574792.81	1451047.016	1255711.248	181208.1155	114245.1968	39983989.26	47599418.08	3161712.221	3379292.601	7519177.1	4248621.586	24693809.84	10218027.85	803960.7387	96499.2305	139418.9443	559162.6645	290497.8103	159894.8238	2001426.674	2198074.485	78636.29368	271382.2753	412815.8122	723172.0987	12167711.07	8190588.275	20082264.03	6688259.183	19877.69383	12843.41119	60787502.32	19902260.28	48751927.9	18517006.62	5568.02303	56837.29719	352046.9618	200676.0789	509275.1965	169711.0767	107626.0034	49705.29459	67083.20536	371211.486	7347964.004	14884355.86	2101860.718	3774951.575	12041255.63	23905213.35	176497.1006	1330.976763	57783.92482	81526.5449	7823146.8	16507080.89	13727487.31	28111029.32	164037.4617	566062.4844	11752235.2	39096003.37	1387487.5	2562256.047	454019.5398	1801683.982	62986.88978	99580.89939	13693.39413	23504.41476
P41	Sample	Block 1.1	195994.3807	169799.3861	588918.429	412641.997	785606.7121	1914433.948	15890.77066	64299.15072	1395121.74	982263.6843	236047.3849	5.61E+05	121929.3144	73118.88132	724995.1818	123704.8108	6733552.877	3780331.623	14398953.61	5581764.272	1021828.959	1165300.007	73530.87156	33238.39075	982082.2844	202786.7736	376981.6364	283697.9215	12561512.44	5302906.898	681155.8247	1499921.292	592308.446	915629.6758	166875.7758	178003.1221	28686413.86	31525852.96	1102330.73	900081.7285	485794.6076	277518.2496	33098007.02	38819060.31	2437613.566	2700799.158	5038733.473	2966096.729	18542026.88	7737845.9	461009.0834	52802.58688	92378.38526	374507	271353.3756	132417.553	1446006.485	1481415.865	88152.55325	260240.0666	271350.855	493388.0629	15669032.99	10370982.32	11476973.52	3890611.416	30710.13019	17420.50867	22692316.71	7526872.249	40622550.69	14665084.04	20564.42102	132811.1335	523736.5479	275980.5288	554770.1576	190843.094	108920.0178	44045.65479	1122512.37	6903648.884	6059034.141	13054626.79	1526959.203	3083758.043	7315237.129	14163971.13	141460.3571	16549.48857	33767.01875	38456.79063	4822971.914	10179213.28	11110485.06	21927485.01	355403.8011	1118844.199	9787211.093	31709882.73	1375258.162	2129059.78	655626.1045	2437034.698	267430.713	393697.8106	10401.91176	14115.35527
P79	Sample	Block 1.1	188640.5969	212238.701	352120.9086	191910.2081	851669.8204	2070310.87	15984.84607	41456.39223	466656.1967	684900.7975	145003.9542	5.93E+05	202876.2375	101596.929	1078054.612	112602.5746	369428.1204	200130.7705	8180835.31	3179056.594	1239367.558	1381591.594	55503.97028	54057.78241	874462.4749	175038.5165	643036.5672	466148.6332	19721238.72	8476846.107	440747.6545	1133548.542	472181.0916	703964.0262	168438.0916	167088.4568	21132720.18	22338131.04	1452672.77	1199015.217	645425.3792	375871.3457	42783558.61	49916454.32	3071290.243	3257546.067	9023335.966	5274501.809	23667640.24	9483324.854	1113466.064	122277.4374	112795.3276	520981.905	343185.7343	174325.8412	1985423.963	2142105.171	85831.98365	273058.9132	566346.2356	985601.0835	8284072.906	5656971.363	15216950.33	5247852.549	21802.92435	10078.11949	79643663.81	26649992.58	46470941.28	17694711.6	6694.030297	41018.94012	155037.4038	81961.50971	2082114.117	667928.8221	406360.4192	101495.89	375064.7814	2299787.12	8534589.027	18560057.79	1875585.03	3765784.108	14436739.4	31660432.29	183945.6102	5797.938539	51210.58959	89761.91191	7982634.578	18262339.24	13691421.48	28644851.92	234130.6626	815922.3539	12286536.53	41250119.96	1348810.869	2297562.605	151193.4842	653985.2398	130141.6318	167671.9945	15437.9663	31060.9651
P43	Sample	Block 1.1	167790.6476	179064.3381	446134.0043	359386.3626	675663.5781	1768525.415	16228.08415	28010.33555	852293.7786	830458.4424	200303.0279	4.99E+05	218508.9408	81021.53189	678355.1636	79860.66173	694421.7977	404916.5379	2885590.931	1089975.36	894668.7213	956075.5014	85559.15656	60059.32712	859882.9019	174432.6774	291832.6046	256954.5579	15790893.5	6893130.585	651209.78	1423203.118	372564.3884	626251.2608	36596.01699	39387.4109	15740007.81	16889363.63	1274048.699	1093029.107	285517.57	168457.326	27182528.62	31743709.46	2562729.859	2417610.073	4525772.978	2727489.709	21707012.72	9005104.781	524503.0815	56754.09675	93148.65696	348110.0324	181682.119	85566.73025	1199790.76	1235758.806	126567.7156	414343.4603	254019.6925	513295.0567	14935486.23	9765412.102	17628129.82	6059913.078	15062.0455	9892.201872	50414914.95	16765029.58	44189217.18	15924105.19	5409.581361	43218.17216	257996.3444	154092.4071	443905.2191	127461.833	151837.6263	48873.12027	125844.2699	727503.1838	4694899.286	9603514.42	1748137.609	3425166.492	8794536.977	18597605.86	141051.2362	7369.206834	49222.9866	68661.78943	5699921.531	11013701.93	11225913.4	24079089.21	146610.5007	512692.7068	10306935.24	33359695.63	1099275.077	1742539.135	274061.9152	985011.1696	51803.63845	62187.0161	9175.015333	21562.97014
P72	Sample	Block 1.1	200395.3118	223152.8488	429402.408	284692.8653	973791.7734	2183400.098	14432.49834	46913.3708	650110.6503	806834.235	160469.2909	5.59E+05	244825.094	140190.1226	1664124.346	224482.9217	139176.1386	87198.26114	2310068.882	876425.3635	1493606.054	1689011.39	92562.8949	63464.61135	1676489.571	352486.7004	5921080.038	4356273.977	20604869.48	8662249.058	1386378.727	2960883.339	148509.5788	223439.8144	131805.8568	123667.5306	18028369.66	19693265.48	1559117.536	1272440.65	856193.8503	514588.2405	37515914.42	41894767.67	2959410.435	3124897.149	8339520.612	4411388.368	24080162.74	9633551.743	1123421.128	119470.4008	213155.5304	790096.4294	356521.4608	190298.4425	3019649.217	3050891.435	52203.75115	204046.9716	447361.4616	901067.8114	7633724.579	5153159.213	16685359.71	5739592.882	25548.52362	15768.95602	68128739.78	21738045.61	47793973.95	17970354.46	10770.24959	84181.37629	260869.0381	152668.5784	1393518.759	437996.8289	123258.3655	29559.15025	22721.99743	131834.4634	5814706.071	11767758.75	2140459.795	4034905.236	20098036.5	42420294.73	178841.18	2006.663747	127114.9979	188094.0493	6671086.124	14383311.13	13405573.69	30449195.59	380746.9369	1283726.033	12575900.68	41503539.95	1630584.981	2957686.138	332260.0334	1388680.548	47627.0896	70476.42365	13773.42239	28010.74037
Cal 3	Standard	Block 1.2	175858.6067	264131.2336	1824967.146	1222004.305	850861.8965	1951470.466	216666.1817	1395512.6	1695841.438	996697.3111	183257.5711	6.04E+05	1861010.15	929946.5345	21541189.47	3255598.163	4618144.878	2638103.502	836875.7457	345384.9713	343307.6427	402487.1543	1078698.239	700367.35	952078.0839	209487.7086	1368477.395	994223.934	2781599.198	1157210.605	1673416.534	2989535.763	272502.6864	465379.4711	1091704.83	1341405.06	203044.924	197272.7283	335390.2322	282123.5676	1662581.705	1016454.649	423352.2645	528529.6452	587982.8991	576651.271	317941.6613	196574.216	6880711.327	2640038.699	1769863.727	197224.6245	374984.7192	1528629.792	431202.8628	204061.2767	101039.1672	114869.0587	155158.2533	419795.4707	142463.95	270229.6574	40439.97222	21875.07682	1954433.446	669815.246	149410.9845	105994.1079	715724.8542	221002.656	14332400.65	5359391.204	667209.9236	3550402.274	413758.1922	230291.102	11619673.49	3938730.56	4607627.943	946128.8302	676893.1538	4197120.186	462854.6923	917032.3068	568000.7616	1177413.563	363457.1347	688582.459	475624.457	178582.5011	495254.2307	716126.169	1529313.739	3282470.129	7037888.718	14517698.93	2018753.252	6624904.643	3905732.067	13011655.51	6508.61146	17602.42861	1857806.813	6345071.756	1818316.383	2523258.438	29816.32815	56368.20694
IS Mix 2	Blank	Block 1.2	4072.410184	N/A	N/A	19913.98678	45541.38975	51240.46069	17110.40872	38786.9551	98113.03001	122386.6753	4733.770806	8.29E+04	81576.26923	11329.17084	593306.2503	28710.12744	3813.127389	1758.288961	1488.26742	60117.91978	3764.883776	12668.91632	697.7812641	1706.219134	2498.273901	1474.3991	3761.882364	27567.05685	2752.488176	2696.982875	2910.388191	1163.841347	10239.4696	3315.006545	6769.475646	9033.999823	5402.846689	506.274698	683395.1187	567183.9941	1997.845353	535.4386942	133466.6261	172330.5086	1221519.737	1197671.297	2463.172924	6951.584283	14253836.3	5874863.073	983.1413525	8151.362413	753.3630176	248.2510346	6137.394889	2245.339629	1323.860074	431.6429492	109567.7616	609.7747439	1874.986931	1143.082998	1580.03349	865.1579231	5086694.047	1794780.057	2048.986054	745.8756019	45817.0734	21665.00106	29709354.81	11621894.66	2454.781673	24712.01102	1054.315841	708.7678425	77881.81863	5988.307882	7487.822738	13283.77749	1778.769825	1971.23689	4516.500247	5849.741726	1138179.221	2234451.254	8800.134529	20565.01018	137558.8372	6442.052194	5328.761628	3552.651273	17523.09841	4077.074638	10133185.08	21530817.12	7756.863665	36282.49183	10135745.33	33276316.15	17052.16034	5307.833917	10851.32153	59087.9846	5109.313819	20638.53555	312.6459749	509.64519
P77	Sample	Block 1.2	166659.2541	226842.2116	359183.028	255466.2641	832192.001	2014077.541	15703.37386	46686.12972	456499.1901	599997.1568	84184.78262	2.74E+05	200830.6469	119317.7181	901037.8936	107774.2169	150153.2623	70644.2398	3653054.285	1439596.687	640711.8158	753134.2777	33074.64364	23254.01673	734922.4891	154480.191	4036666.955	2935600.883	13454927.17	5483031.692	593542.6154	1250974.686	135001.8888	265416.5521	58102.40726	59663.53746	13425229.02	13400493.63	943885.8951	753267.6015	360322.0407	212374.1518	19256341.25	22900764.65	1793314.35	1878225.432	4424481.099	2631711.615	17365914.89	6750150.625	522212.9325	65183.11841	83558.28138	335144.0509	266448.4417	123024.4358	1767365.804	1891331.826	50639.23971	172682.6535	428683.266	789685.8992	4346063.844	2976788.02	11152832.7	3989110.655	18134.91155	14033.40338	48773062.07	15817248.32	33533658.96	12052712.01	2538.205162	14805.22608	170977.9692	96001.03453	273040.2054	85167.78186	65299.93816	16543.8005	74437.46334	389708.9836	5872837.9	13826067.63	1220666.319	2634452.068	8817829.695	19864828.92	99932.23947	N/A	53270.0695	77983.11521	5331848.154	11556223.09	8771570.368	19558994.8	167068.7286	571508.0708	7378980.15	24271322.52	773780.199	1343450.934	258154.9243	784095.8219	43133.60953	48789.75013	8842.176879	21858.00218
P52	Sample	Block 1.2	218662.6801	232794.9897	94931.44274	74001.33632	1030243.919	2400687.814	18521.63045	45274.82212	789419.2891	877234.7647	293224.1525	7.18E+05	139086.3051	100021.0157	654612.2309	74900.4479	100428.2672	67502.17779	6687678.298	2595313.8	654096.7961	737154.6076	44440.8	42910.97233	1191972.021	270559.1638	414866.3039	323855.9604	15964812.01	6610509.741	553570.413	1540934.603	255191.4437	422059.1666	36578.65135	33705.45653	17474552.54	17836846.77	1477810.78	1192266.685	735820.0509	424276.3382	29713088.48	35137964.82	2497766.747	2587516.153	5348506.549	3072056.541	23537183.54	10102686.86	813424.9062	84568.53234	97681.1405	435496.4339	344298.7678	184275.3323	2065036.912	2339643.633	64397.28499	201593.923	638427.7779	1171782.996	11406764.95	7321318.322	18540141.64	6623128.582	23874.38326	16731.62154	68064327.35	22458037.16	47660171.98	17319131.92	2927.485143	40197.69925	416178.3277	250774.4972	258035.2112	77454.06806	81986.49016	24266.711	55774.58662	395218.5828	10573192.88	21797810.55	1862406.688	3856555.669	12770903.14	27959394.42	138418.4116	6696.037503	53806.50621	83778.6728	7063143.556	17303255.53	12314261.71	25857595.22	246063.7623	750569.2333	12461620.02	39617360.2	1291598.197	2266247.46	372830.305	1511979.8	43719.65176	52516.51447	11312.41832	22502.34213
P60	Sample	Block 1.2	194972.3137	168947.506	34268.64462	9819.30281	813590.8625	1932327.608	14657.66264	33819.66655	1057157.529	1018325.524	276193.5064	7.98E+05	240533.2689	97193.7569	815551.3601	95378.14605	57826.22016	35780.96739	3160171.914	1200500.277	803642.1639	929185.641	79475.09329	53030.04046	1213009.589	267760.8376	457068.219	361403.3977	16410663.37	6703177.424	705017.4979	1608552.988	339020.1685	613865.2403	27810.85282	33319.48072	17903115.62	18468488.05	1122340.421	964017.058	329625.6541	209909.3495	27130620.35	32280272.32	2251798.94	2309370.218	4536217.992	2585515.37	20866030.83	8211618.68	564639.2502	65722.90211	98985.15712	377312.2636	144408.7476	76633.36865	2073027.418	2159995.045	38852.03494	117227.2697	463705.973	885533.4516	10886654.1	7116903.25	16363687.34	5578781.265	17282.60953	11279.37006	38807647.15	12635768.18	40348185.64	14737089.42	5872.740856	23411.86475	207399.6382	127931.2398	199930.8698	57726.16977	56831.52145	20836.4577	71810.11279	415472.6152	2806564.567	6096835.701	1695713.976	3296126.556	6604476.614	14376385.39	135946.7889	5495.628764	38809.1074	62217.90652	4910691.974	10235173.63	9854059.873	21786889.07	178872.051	548945.6067	9242602.736	30012507.68	1146023.393	2025732.547	165968.2298	689524.1249	46397.45555	68555.51637	9691.643123	20194.42498
P73	Sample	Block 1.2	239703.7553	195228.4067	116288.9513	67118.62962	983095.8731	2566516.542	16155.36654	42146.5182	567782.3521	939219.159	111591.711	5.01E+05	113580.7529	77214.29715	682987.8857	77314.24976	282766.7731	156453.1306	9066687.734	3519680.558	563920.8583	602119.9184	61142.94526	45019.88349	590399.6318	129827.8511	444754.6954	365912.7056	19168034.71	7962935.771	495831.1614	1053159.527	592509.7082	981424.2507	134403.4126	151089.1708	35758976.9	36215618.55	1261862.042	1086144.727	260819.0049	174543.8838	48969659.94	58616070.83	2985941.249	3192935.922	8141364.873	4682697.788	21359263.67	8382603.902	975016.9809	83698.96399	121317.5384	457224.1297	316939.2987	137037.4567	1581970.766	1644197.607	108315.4263	322329.9714	704189.6775	1220555.327	8716896.276	5534029.714	14556209.28	4957878.064	15133.19751	13738.25785	28935245.76	9867291.876	46281880.33	17283372.72	11600.91896	64609.15415	95571.74755	62403.48447	496720.4605	147357.0223	106282.2618	53936.78927	158671.048	945546.0998	9636027.648	19085123.41	1942026.411	3698272.614	10627145.58	21773819.59	177506.8849	8866.050616	43306.33637	49559.69222	7624731.998	16955275.02	11752924.2	24406412.79	198117.7152	668254.3776	11026916.54	35507324.02	901757.8128	1635776.531	218066.2687	931245.2737	94064.02597	121234.0962	10865.89255	21227.8352
